year,Hillard (F),Hillard (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000025
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000036
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000030
1893,0.000000,0.000022
1894,0.000000,0.000024
1895,0.000000,0.000017
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000024
1899,0.000000,0.000018
1900,0.000000,0.000018
1901,0.000000,0.000000
1902,0.000000,0.000013
1903,0.000000,0.000000
1904,0.000000,0.000015
1905,0.000000,0.000021
1906,0.000000,0.000035
1907,0.000000,0.000019
1908,0.000000,0.000018
1909,0.000000,0.000016
1910,0.000000,0.000017
1911,0.000000,0.000019
1912,0.000000,0.000014
1913,0.000000,0.000025
1914,0.000000,0.000025
1915,0.000000,0.000027
1916,0.000000,0.000030
1917,0.000000,0.000022
1918,0.000000,0.000029
1919,0.000000,0.000028
1920,0.000000,0.000027
1921,0.000000,0.000031
1922,0.000000,0.000028
1923,0.000000,0.000026
1924,0.000000,0.000027
1925,0.000000,0.000030
1926,0.000000,0.000036
1927,0.000000,0.000028
1928,0.000000,0.000028
1929,0.000000,0.000030
1930,0.000000,0.000024
1931,0.000000,0.000021
1932,0.000000,0.000026
1933,0.000000,0.000015
1934,0.000000,0.000017
1935,0.000000,0.000017
1936,0.000000,0.000015
1937,0.000000,0.000014
1938,0.000000,0.000018
1939,0.000000,0.000018
1940,0.000000,0.000013
1941,0.000000,0.000011
1942,0.000000,0.000011
1943,0.000000,0.000010
1944,0.000000,0.000014
1945,0.000000,0.000012
1946,0.000000,0.000010
1947,0.000000,0.000008
1948,0.000000,0.000009
1949,0.000000,0.000006
1950,0.000000,0.000010
1951,0.000000,0.000007
1952,0.000000,0.000006
1953,0.000000,0.000005
1954,0.000000,0.000008
1955,0.000000,0.000003
1956,0.000000,0.000004
1957,0.000000,0.000005
1958,0.000000,0.000005
1959,0.000000,0.000002
1960,0.000000,0.000004
1961,0.000000,0.000003
1962,0.000000,0.000003
1963,0.000000,0.000003
1964,0.000000,0.000003
1965,0.000000,0.000004
1966,0.000000,0.000005
1967,0.000000,0.000004
1968,0.000000,0.000004
1969,0.000000,0.000001
1970,0.000000,0.000004
1971,0.000000,0.000002
1972,0.000000,0.000003
1973,0.000000,0.000004
1974,0.000000,0.000004
1975,0.000000,0.000000
1976,0.000000,0.000003
1977,0.000000,0.000003
1978,0.000000,0.000002
1979,0.000000,0.000003
1980,0.000000,0.000000
1981,0.000000,0.000000
1982,0.000000,0.000001
1983,0.000000,0.000000
1984,0.000000,0.000002
1985,0.000000,0.000000
1986,0.000000,0.000002
1987,0.000000,0.000000
1988,0.000000,0.000000
1989,0.000000,0.000002
1990,0.000000,0.000000
1991,0.000000,0.000002
1992,0.000000,0.000000
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000002
2001,0.000000,0.000000
2002,0.000000,0.000001
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
