year,Hewitt
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,6
1913,7
1914,20
1915,15
1916,15
1917,10
1918,10
1919,22
1920,23
1921,12
1922,22
1923,16
1924,22
1925,25
1926,13
1927,16
1928,20
1929,9
1930,15
1931,17
1932,8
1933,10
1934,8
1935,8
1936,11
1937,0
1938,13
1939,11
1940,11
1941,9
1942,13
1943,15
1944,6
1945,7
1946,7
1947,8
1948,15
1949,9
1950,11
1951,9
1952,7
1953,10
1954,16
1955,5
1956,11
1957,7
1958,7
1959,6
1960,0
1961,5
1962,6
1963,9
1964,5
1965,0
1966,0
1967,0
1968,8
1969,6
1970,5
1971,0
1972,0
1973,0
1974,5
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,5
2002,0
2003,0
2004,7
2005,9
2006,10
2007,15
2008,11
2009,10
2010,7
2011,6
2012,17
