year,Halbert
1880,0
1881,5
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,9
1908,6
1909,0
1910,0
1911,7
1912,14
1913,15
1914,21
1915,13
1916,24
1917,24
1918,24
1919,27
1920,20
1921,27
1922,22
1923,29
1924,23
1925,13
1926,26
1927,14
1928,17
1929,23
1930,15
1931,17
1932,7
1933,10
1934,13
1935,13
1936,8
1937,20
1938,8
1939,8
1940,15
1941,18
1942,15
1943,14
1944,12
1945,11
1946,15
1947,21
1948,16
1949,10
1950,26
1951,12
1952,26
1953,17
1954,19
1955,24
1956,20
1957,24
1958,16
1959,19
1960,20
1961,17
1962,14
1963,14
1964,12
1965,6
1966,11
1967,6
1968,13
1969,9
1970,7
1971,10
1972,9
1973,11
1974,9
1975,12
1976,5
1977,7
1978,5
1979,7
1980,8
1981,7
1982,7
1983,10
1984,0
1985,7
1986,0
1987,0
1988,5
1989,5
1990,0
1991,0
1992,0
1993,6
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
