year,Hobert
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,5
1895,8
1896,47
1897,60
1898,42
1899,22
1900,36
1901,11
1902,20
1903,16
1904,15
1905,20
1906,22
1907,18
1908,23
1909,21
1910,19
1911,26
1912,38
1913,48
1914,43
1915,106
1916,106
1917,120
1918,153
1919,167
1920,168
1921,165
1922,185
1923,166
1924,171
1925,156
1926,116
1927,144
1928,134
1929,118
1930,132
1931,125
1932,126
1933,108
1934,94
1935,108
1936,81
1937,85
1938,96
1939,64
1940,84
1941,80
1942,100
1943,82
1944,92
1945,69
1946,70
1947,80
1948,68
1949,48
1950,54
1951,66
1952,56
1953,53
1954,55
1955,50
1956,50
1957,41
1958,44
1959,39
1960,47
1961,31
1962,32
1963,31
1964,37
1965,39
1966,31
1967,28
1968,30
1969,31
1970,27
1971,27
1972,27
1973,15
1974,22
1975,16
1976,17
1977,16
1978,10
1979,16
1980,7
1981,10
1982,12
1983,9
1984,14
1985,7
1986,9
1987,13
1988,6
1989,13
1990,8
1991,6
1992,11
1993,0
1994,6
1995,5
1996,0
1997,0
1998,0
1999,5
2000,6
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
