year,Harald
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,7
1915,10
1916,12
1917,17
1918,10
1919,18
1920,14
1921,9
1922,15
1923,17
1924,16
1925,24
1926,18
1927,22
1928,14
1929,17
1930,19
1931,14
1932,11
1933,9
1934,6
1935,8
1936,17
1937,11
1938,13
1939,14
1940,12
1941,9
1942,13
1943,16
1944,7
1945,11
1946,5
1947,11
1948,0
1949,8
1950,0
1951,9
1952,9
1953,10
1954,11
1955,9
1956,9
1957,17
1958,18
1959,12
1960,18
1961,14
1962,15
1963,10
1964,8
1965,9
1966,13
1967,12
1968,23
1969,7
1970,12
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,5
1979,0
1980,5
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
