year,Hilma
1880,10
1881,17
1882,16
1883,27
1884,28
1885,34
1886,27
1887,26
1888,37
1889,29
1890,42
1891,34
1892,40
1893,41
1894,38
1895,44
1896,38
1897,47
1898,44
1899,47
1900,38
1901,51
1902,35
1903,34
1904,38
1905,32
1906,42
1907,48
1908,53
1909,35
1910,41
1911,46
1912,47
1913,45
1914,87
1915,105
1916,99
1917,93
1918,102
1919,78
1920,101
1921,72
1922,75
1923,59
1924,75
1925,63
1926,46
1927,65
1928,35
1929,47
1930,42
1931,32
1932,40
1933,42
1934,22
1935,28
1936,17
1937,23
1938,25
1939,17
1940,21
1941,20
1942,18
1943,19
1944,12
1945,15
1946,7
1947,19
1948,12
1949,9
1950,17
1951,11
1952,13
1953,12
1954,6
1955,12
1956,8
1957,0
1958,0
1959,7
1960,8
1961,0
1962,0
1963,7
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
