year,Hayward
1880,0
1881,0
1882,0
1883,0
1884,8
1885,0
1886,0
1887,0
1888,6
1889,7
1890,0
1891,6
1892,5
1893,8
1894,10
1895,10
1896,8
1897,8
1898,6
1899,7
1900,7
1901,6
1902,8
1903,13
1904,11
1905,12
1906,9
1907,13
1908,15
1909,18
1910,18
1911,16
1912,29
1913,30
1914,35
1915,56
1916,62
1917,84
1918,63
1919,75
1920,84
1921,78
1922,88
1923,82
1924,81
1925,90
1926,75
1927,75
1928,90
1929,71
1930,71
1931,76
1932,72
1933,69
1934,82
1935,70
1936,80
1937,82
1938,88
1939,74
1940,66
1941,77
1942,73
1943,88
1944,82
1945,72
1946,87
1947,83
1948,93
1949,91
1950,77
1951,79
1952,73
1953,78
1954,74
1955,72
1956,95
1957,61
1958,66
1959,69
1960,71
1961,55
1962,50
1963,49
1964,36
1965,42
1966,29
1967,46
1968,46
1969,32
1970,47
1971,32
1972,27
1973,36
1974,35
1975,27
1976,27
1977,23
1978,20
1979,28
1980,30
1981,23
1982,28
1983,30
1984,14
1985,20
1986,20
1987,20
1988,17
1989,20
1990,18
1991,20
1992,20
1993,17
1994,18
1995,9
1996,15
1997,9
1998,10
1999,10
2000,6
2001,5
2002,8
2003,7
2004,5
2005,7
2006,12
2007,0
2008,14
2009,0
2010,0
2011,5
2012,0
