year,Hildegard
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,6
1891,11
1892,6
1893,13
1894,10
1895,13
1896,21
1897,14
1898,16
1899,20
1900,23
1901,21
1902,28
1903,17
1904,23
1905,21
1906,34
1907,18
1908,13
1909,21
1910,12
1911,22
1912,45
1913,39
1914,44
1915,81
1916,70
1917,63
1918,57
1919,50
1920,35
1921,35
1922,43
1923,47
1924,38
1925,46
1926,47
1927,57
1928,44
1929,44
1930,50
1931,31
1932,30
1933,34
1934,31
1935,24
1936,14
1937,25
1938,23
1939,14
1940,16
1941,17
1942,11
1943,9
1944,10
1945,8
1946,13
1947,9
1948,9
1949,6
1950,7
1951,7
1952,10
1953,12
1954,10
1955,6
1956,11
1957,10
1958,11
1959,9
1960,8
1961,5
1962,7
1963,9
1964,6
1965,0
1966,0
1967,0
1968,6
1969,0
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
