year,Hardy (F),Hardy (M)
1880,0.000000,0.000094
1881,0.000000,0.000083
1882,0.000000,0.000117
1883,0.000000,0.000065
1884,0.000000,0.000078
1885,0.000000,0.000062
1886,0.000000,0.000102
1887,0.000000,0.000028
1888,0.000000,0.000080
1889,0.000000,0.000087
1890,0.000000,0.000090
1891,0.000000,0.000045
1892,0.000000,0.000060
1893,0.000000,0.000083
1894,0.000000,0.000056
1895,0.000000,0.000051
1896,0.000000,0.000056
1897,0.000000,0.000035
1898,0.000000,0.000060
1899,0.000000,0.000044
1900,0.000000,0.000058
1901,0.000000,0.000043
1902,0.000000,0.000036
1903,0.000000,0.000047
1904,0.000000,0.000035
1905,0.000000,0.000019
1906,0.000000,0.000040
1907,0.000000,0.000041
1908,0.000000,0.000057
1909,0.000000,0.000057
1910,0.000000,0.000044
1911,0.000000,0.000047
1912,0.000000,0.000033
1913,0.000000,0.000040
1914,0.000000,0.000048
1915,0.000000,0.000030
1916,0.000000,0.000035
1917,0.000000,0.000036
1918,0.000000,0.000031
1919,0.000000,0.000040
1920,0.000000,0.000049
1921,0.000000,0.000065
1922,0.000000,0.000061
1923,0.000000,0.000051
1924,0.000000,0.000028
1925,0.000000,0.000036
1926,0.000000,0.000032
1927,0.000002,0.000031
1928,0.000000,0.000032
1929,0.000000,0.000033
1930,0.000000,0.000027
1931,0.000000,0.000029
1932,0.000002,0.000032
1933,0.000000,0.000027
1934,0.000000,0.000027
1935,0.000000,0.000030
1936,0.000000,0.000027
1937,0.000000,0.000033
1938,0.000000,0.000023
1939,0.000000,0.000027
1940,0.000000,0.000027
1941,0.000000,0.000032
1942,0.000000,0.000031
1943,0.000000,0.000027
1944,0.000000,0.000027
1945,0.000000,0.000027
1946,0.000000,0.000024
1947,0.000000,0.000020
1948,0.000000,0.000017
1949,0.000000,0.000025
1950,0.000000,0.000015
1951,0.000000,0.000019
1952,0.000000,0.000016
1953,0.000000,0.000017
1954,0.000000,0.000014
1955,0.000000,0.000014
1956,0.000000,0.000011
1957,0.000000,0.000013
1958,0.000000,0.000012
1959,0.000000,0.000012
1960,0.000000,0.000013
1961,0.000000,0.000015
1962,0.000000,0.000011
1963,0.000000,0.000012
1964,0.000000,0.000013
1965,0.000000,0.000011
1966,0.000000,0.000011
1967,0.000000,0.000010
1968,0.000000,0.000010
1969,0.000000,0.000009
1970,0.000000,0.000010
1971,0.000000,0.000010
1972,0.000000,0.000012
1973,0.000000,0.000008
1974,0.000000,0.000008
1975,0.000000,0.000011
1976,0.000000,0.000008
1977,0.000000,0.000004
1978,0.000000,0.000007
1979,0.000000,0.000007
1980,0.000000,0.000006
1981,0.000000,0.000008
1982,0.000000,0.000007
1983,0.000000,0.000005
1984,0.000000,0.000006
1985,0.000000,0.000005
1986,0.000000,0.000004
1987,0.000000,0.000006
1988,0.000000,0.000005
1989,0.000000,0.000003
1990,0.000000,0.000006
1991,0.000000,0.000004
1992,0.000000,0.000007
1993,0.000000,0.000005
1994,0.000000,0.000006
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000002
1998,0.000000,0.000003
1999,0.000000,0.000003
2000,0.000000,0.000003
2001,0.000000,0.000005
2002,0.000000,0.000006
2003,0.000000,0.000005
2004,0.000000,0.000004
2005,0.000000,0.000005
2006,0.000000,0.000007
2007,0.000000,0.000003
2008,0.000000,0.000003
2009,0.000000,0.000006
2010,0.000000,0.000005
2011,0.000000,0.000005
2012,0.000000,0.000008
2013,0.000000,0.000005
2014,0.000000,0.000009
2015,0.000000,0.000012
2016,0.000000,0.000013
2017,0.000000,0.000009
2018,0.000000,0.000010
2019,0.000000,0.000011
2020,0.000000,0.000011
