year,Hernando
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,5
1921,6
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,5
1932,0
1933,0
1934,0
1935,7
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,5
1950,0
1951,6
1952,5
1953,5
1954,12
1955,10
1956,11
1957,12
1958,6
1959,9
1960,8
1961,11
1962,6
1963,14
1964,12
1965,8
1966,13
1967,20
1968,14
1969,13
1970,18
1971,8
1972,19
1973,19
1974,8
1975,14
1976,15
1977,16
1978,18
1979,10
1980,15
1981,11
1982,14
1983,12
1984,15
1985,12
1986,9
1987,19
1988,12
1989,9
1990,13
1991,10
1992,20
1993,19
1994,6
1995,14
1996,9
1997,14
1998,10
1999,6
2000,10
2001,11
2002,9
2003,11
2004,10
2005,7
2006,12
2007,7
2008,14
2009,6
2010,0
2011,0
2012,9
