year,Hector (F),Hector (M)
1880,0.000000,0.000074
1881,0.000000,0.000031
1882,0.000000,0.000027
1883,0.000000,0.000046
1884,0.000000,0.000045
1885,0.000000,0.000037
1886,0.000000,0.000023
1887,0.000000,0.000028
1888,0.000000,0.000060
1889,0.000000,0.000024
1890,0.000000,0.000020
1891,0.000000,0.000045
1892,0.000000,0.000045
1893,0.000000,0.000018
1894,0.000000,0.000024
1895,0.000000,0.000020
1896,0.000000,0.000034
1897,0.000000,0.000040
1898,0.000000,0.000026
1899,0.000000,0.000035
1900,0.000000,0.000042
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000029
1904,0.000000,0.000042
1905,0.000000,0.000028
1906,0.000000,0.000028
1907,0.000000,0.000034
1908,0.000000,0.000031
1909,0.000000,0.000035
1910,0.000000,0.000030
1911,0.000000,0.000054
1912,0.000000,0.000052
1913,0.000000,0.000045
1914,0.000000,0.000041
1915,0.000000,0.000059
1916,0.000000,0.000047
1917,0.000000,0.000042
1918,0.000000,0.000041
1919,0.000000,0.000051
1920,0.000000,0.000053
1921,0.000000,0.000056
1922,0.000000,0.000054
1923,0.000000,0.000055
1924,0.000000,0.000058
1925,0.000000,0.000060
1926,0.000000,0.000063
1927,0.000000,0.000078
1928,0.000000,0.000082
1929,0.000000,0.000088
1930,0.000000,0.000089
1931,0.000000,0.000090
1932,0.000000,0.000081
1933,0.000000,0.000099
1934,0.000000,0.000090
1935,0.000002,0.000084
1936,0.000000,0.000080
1937,0.000000,0.000073
1938,0.000000,0.000082
1939,0.000000,0.000078
1940,0.000000,0.000084
1941,0.000000,0.000073
1942,0.000000,0.000071
1943,0.000000,0.000085
1944,0.000000,0.000090
1945,0.000000,0.000097
1946,0.000000,0.000094
1947,0.000000,0.000092
1948,0.000000,0.000123
1949,0.000000,0.000133
1950,0.000000,0.000136
1951,0.000001,0.000160
1952,0.000000,0.000157
1953,0.000000,0.000164
1954,0.000001,0.000162
1955,0.000000,0.000197
1956,0.000000,0.000194
1957,0.000001,0.000192
1958,0.000000,0.000204
1959,0.000002,0.000220
1960,0.000000,0.000211
1961,0.000001,0.000215
1962,0.000002,0.000229
1963,0.000003,0.000242
1964,0.000002,0.000243
1965,0.000002,0.000267
1966,0.000000,0.000269
1967,0.000002,0.000275
1968,0.000003,0.000307
1969,0.000002,0.000324
1970,0.000003,0.000313
1971,0.000003,0.000342
1972,0.000004,0.000355
1973,0.000003,0.000396
1974,0.000006,0.000400
1975,0.000005,0.000413
1976,0.000004,0.000413
1977,0.000003,0.000360
1978,0.000004,0.000391
1979,0.000005,0.000428
1980,0.000006,0.000421
1981,0.000002,0.000407
1982,0.000004,0.000435
1983,0.000004,0.000395
1984,0.000005,0.000381
1985,0.000004,0.000418
1986,0.000005,0.000414
1987,0.000005,0.000441
1988,0.000005,0.000448
1989,0.000003,0.000469
1990,0.000003,0.000503
1991,0.000004,0.000523
1992,0.000003,0.000525
1993,0.000005,0.000539
1994,0.000005,0.000531
1995,0.000003,0.000513
1996,0.000003,0.000539
1997,0.000000,0.000516
1998,0.000000,0.000493
1999,0.000001,0.000519
2000,0.000000,0.000524
2001,0.000001,0.000509
2002,0.000000,0.000520
2003,0.000000,0.000526
2004,0.000001,0.000524
2005,0.000000,0.000640
2006,0.000000,0.000589
2007,0.000000,0.000561
2008,0.000002,0.000555
2009,0.000000,0.000483
2010,0.000000,0.000424
2011,0.000000,0.000387
2012,0.000000,0.000364
