year,Horacio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,6
1916,7
1917,5
1918,9
1919,6
1920,16
1921,5
1922,12
1923,16
1924,17
1925,15
1926,9
1927,17
1928,24
1929,24
1930,21
1931,18
1932,19
1933,19
1934,19
1935,16
1936,16
1937,17
1938,19
1939,11
1940,11
1941,13
1942,10
1943,20
1944,15
1945,12
1946,14
1947,12
1948,13
1949,16
1950,24
1951,18
1952,19
1953,20
1954,25
1955,22
1956,17
1957,31
1958,25
1959,42
1960,30
1961,29
1962,22
1963,23
1964,32
1965,34
1966,30
1967,36
1968,39
1969,38
1970,45
1971,39
1972,50
1973,42
1974,52
1975,49
1976,61
1977,75
1978,63
1979,60
1980,81
1981,79
1982,71
1983,59
1984,68
1985,52
1986,54
1987,60
1988,66
1989,76
1990,80
1991,79
1992,81
1993,96
1994,86
1995,82
1996,75
1997,75
1998,90
1999,88
2000,92
2001,106
2002,98
2003,81
2004,78
2005,78
2006,75
2007,91
2008,69
2009,66
2010,64
2011,47
2012,45
