year,Hiram (F),Hiram (M)
1880,0.000000,0.000437
1881,0.000000,0.000493
1882,0.000000,0.000469
1883,0.000000,0.000392
1884,0.000000,0.000398
1885,0.000000,0.000382
1886,0.000000,0.000208
1887,0.000000,0.000303
1888,0.000000,0.000234
1889,0.000000,0.000228
1890,0.000000,0.000226
1891,0.000000,0.000171
1892,0.000000,0.000191
1893,0.000000,0.000157
1894,0.000000,0.000180
1895,0.000000,0.000177
1896,0.000000,0.000129
1897,0.000000,0.000127
1898,0.000000,0.000144
1899,0.000000,0.000130
1900,0.000000,0.000127
1901,0.000000,0.000110
1902,0.000000,0.000109
1903,0.000000,0.000087
1904,0.000000,0.000109
1905,0.000000,0.000127
1906,0.000000,0.000084
1907,0.000000,0.000080
1908,0.000000,0.000111
1909,0.000000,0.000074
1910,0.000000,0.000098
1911,0.000000,0.000088
1912,0.000000,0.000091
1913,0.000000,0.000115
1914,0.000000,0.000092
1915,0.000000,0.000088
1916,0.000000,0.000096
1917,0.000000,0.000090
1918,0.000000,0.000094
1919,0.000000,0.000100
1920,0.000000,0.000098
1921,0.000000,0.000081
1922,0.000000,0.000087
1923,0.000000,0.000091
1924,0.000000,0.000078
1925,0.000000,0.000073
1926,0.000000,0.000085
1927,0.000000,0.000060
1928,0.000000,0.000077
1929,0.000000,0.000069
1930,0.000000,0.000065
1931,0.000000,0.000058
1932,0.000000,0.000066
1933,0.000000,0.000054
1934,0.000000,0.000050
1935,0.000000,0.000050
1936,0.000000,0.000053
1937,0.000000,0.000047
1938,0.000000,0.000045
1939,0.000000,0.000040
1940,0.000000,0.000050
1941,0.000000,0.000039
1942,0.000000,0.000042
1943,0.000000,0.000039
1944,0.000000,0.000042
1945,0.000000,0.000034
1946,0.000000,0.000027
1947,0.000000,0.000029
1948,0.000000,0.000032
1949,0.000000,0.000030
1950,0.000000,0.000032
1951,0.000000,0.000029
1952,0.000000,0.000035
1953,0.000000,0.000030
1954,0.000000,0.000031
1955,0.000000,0.000028
1956,0.000000,0.000030
1957,0.000000,0.000030
1958,0.000000,0.000035
1959,0.000000,0.000026
1960,0.000000,0.000030
1961,0.000000,0.000027
1962,0.000000,0.000032
1963,0.000000,0.000032
1964,0.000000,0.000032
1965,0.000000,0.000030
1966,0.000000,0.000024
1967,0.000000,0.000029
1968,0.000000,0.000026
1969,0.000000,0.000033
1970,0.000000,0.000028
1971,0.000000,0.000027
1972,0.000000,0.000031
1973,0.000000,0.000034
1974,0.000000,0.000032
1975,0.000000,0.000034
1976,0.000000,0.000035
1977,0.000000,0.000030
1978,0.000000,0.000026
1979,0.000000,0.000033
1980,0.000000,0.000024
1981,0.000000,0.000025
1982,0.000000,0.000022
1983,0.000000,0.000024
1984,0.000000,0.000021
1985,0.000000,0.000022
1986,0.000000,0.000022
1987,0.000000,0.000018
1988,0.000000,0.000020
1989,0.000000,0.000018
1990,0.000000,0.000017
1991,0.000000,0.000015
1992,0.000000,0.000017
1993,0.000000,0.000017
1994,0.000000,0.000018
1995,0.000000,0.000019
1996,0.000000,0.000022
1997,0.000000,0.000021
1998,0.000000,0.000022
1999,0.000000,0.000022
2000,0.000000,0.000019
2001,0.000000,0.000022
2002,0.000000,0.000018
2003,0.000000,0.000022
2004,0.000000,0.000026
2005,0.000000,0.000023
2006,0.000000,0.000023
2007,0.000000,0.000029
2008,0.000000,0.000024
2009,0.000000,0.000025
2010,0.000000,0.000025
2011,0.000000,0.000020
2012,0.000000,0.000023
