year,Hasan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,0
1960,5
1961,5
1962,0
1963,0
1964,9
1965,8
1966,6
1967,8
1968,9
1969,7
1970,8
1971,15
1972,35
1973,48
1974,37
1975,46
1976,62
1977,56
1978,83
1979,69
1980,64
1981,50
1982,60
1983,56
1984,58
1985,48
1986,55
1987,56
1988,68
1989,68
1990,81
1991,81
1992,88
1993,80
1994,87
1995,83
1996,89
1997,121
1998,103
1999,119
2000,118
2001,115
2002,98
2003,120
2004,97
2005,103
2006,122
2007,120
2008,119
2009,89
2010,98
2011,113
2012,123
