year,Haydee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,0
1924,0
1925,0
1926,6
1927,0
1928,0
1929,6
1930,0
1931,0
1932,0
1933,6
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,5
1941,0
1942,0
1943,0
1944,6
1945,8
1946,9
1947,8
1948,9
1949,6
1950,13
1951,20
1952,23
1953,24
1954,28
1955,30
1956,34
1957,40
1958,37
1959,39
1960,45
1961,33
1962,43
1963,53
1964,59
1965,42
1966,43
1967,31
1968,34
1969,34
1970,38
1971,55
1972,52
1973,45
1974,55
1975,61
1976,43
1977,73
1978,49
1979,63
1980,48
1981,49
1982,53
1983,60
1984,48
1985,37
1986,42
1987,50
1988,50
1989,42
1990,59
1991,47
1992,64
1993,55
1994,39
1995,34
1996,40
1997,32
1998,50
1999,39
2000,48
2001,47
2002,72
2003,47
2004,49
2005,53
2006,69
2007,68
2008,87
2009,58
2010,63
2011,62
2012,53
