year,Hobart
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,6
1894,7
1895,16
1896,135
1897,105
1898,42
1899,31
1900,27
1901,21
1902,18
1903,11
1904,14
1905,14
1906,19
1907,19
1908,12
1909,15
1910,18
1911,27
1912,25
1913,38
1914,36
1915,86
1916,88
1917,100
1918,133
1919,89
1920,122
1921,136
1922,132
1923,116
1924,132
1925,103
1926,89
1927,99
1928,79
1929,78
1930,76
1931,73
1932,66
1933,49
1934,40
1935,50
1936,42
1937,44
1938,53
1939,36
1940,43
1941,35
1942,50
1943,34
1944,34
1945,24
1946,38
1947,37
1948,42
1949,30
1950,31
1951,27
1952,33
1953,31
1954,18
1955,32
1956,26
1957,24
1958,29
1959,22
1960,18
1961,15
1962,25
1963,19
1964,20
1965,25
1966,25
1967,11
1968,10
1969,12
1970,13
1971,9
1972,11
1973,11
1974,11
1975,13
1976,11
1977,11
1978,13
1979,9
1980,9
1981,0
1982,10
1983,5
1984,7
1985,0
1986,6
1987,6
1988,7
1989,7
1990,5
1991,6
1992,0
1993,0
1994,5
1995,0
1996,0
1997,6
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
