year,Hedwig
1880,7
1881,5
1882,12
1883,8
1884,19
1885,11
1886,12
1887,25
1888,34
1889,18
1890,28
1891,47
1892,26
1893,28
1894,26
1895,41
1896,36
1897,28
1898,44
1899,32
1900,18
1901,27
1902,41
1903,29
1904,29
1905,28
1906,30
1907,26
1908,37
1909,30
1910,43
1911,57
1912,52
1913,67
1914,114
1915,152
1916,157
1917,137
1918,159
1919,152
1920,128
1921,125
1922,115
1923,99
1924,81
1925,61
1926,78
1927,52
1928,41
1929,28
1930,27
1931,27
1932,24
1933,13
1934,17
1935,16
1936,9
1937,16
1938,10
1939,14
1940,13
1941,17
1942,16
1943,14
1944,8
1945,8
1946,8
1947,10
1948,11
1949,12
1950,8
1951,7
1952,15
1953,8
1954,12
1955,11
1956,7
1957,0
1958,5
1959,6
1960,7
1961,0
1962,9
1963,0
1964,6
1965,0
1966,0
1967,0
1968,6
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
