year,Hans (F),Hans (M)
1880,0.000000,0.000104
1881,0.000000,0.000119
1882,0.000000,0.000122
1883,0.000000,0.000129
1884,0.000000,0.000107
1885,0.000000,0.000137
1886,0.000000,0.000078
1887,0.000000,0.000093
1888,0.000000,0.000090
1889,0.000000,0.000087
1890,0.000000,0.000056
1891,0.000000,0.000087
1892,0.000000,0.000084
1893,0.000000,0.000043
1894,0.000000,0.000056
1895,0.000000,0.000063
1896,0.000000,0.000045
1897,0.000000,0.000061
1898,0.000000,0.000071
1899,0.000000,0.000050
1900,0.000000,0.000040
1901,0.000000,0.000040
1902,0.000000,0.000044
1903,0.000000,0.000042
1904,0.000000,0.000042
1905,0.000000,0.000040
1906,0.000000,0.000037
1907,0.000000,0.000030
1908,0.000000,0.000033
1909,0.000000,0.000057
1910,0.000000,0.000046
1911,0.000000,0.000040
1912,0.000000,0.000057
1913,0.000000,0.000063
1914,0.000000,0.000052
1915,0.000000,0.000053
1916,0.000000,0.000044
1917,0.000000,0.000043
1918,0.000000,0.000036
1919,0.000000,0.000029
1920,0.000000,0.000028
1921,0.000000,0.000029
1922,0.000000,0.000027
1923,0.000000,0.000029
1924,0.000000,0.000026
1925,0.000000,0.000035
1926,0.000000,0.000042
1927,0.000000,0.000038
1928,0.000000,0.000030
1929,0.000000,0.000040
1930,0.000000,0.000045
1931,0.000000,0.000039
1932,0.000000,0.000039
1933,0.000000,0.000040
1934,0.000000,0.000044
1935,0.000000,0.000035
1936,0.000000,0.000037
1937,0.000000,0.000032
1938,0.000000,0.000034
1939,0.000000,0.000026
1940,0.000000,0.000030
1941,0.000000,0.000025
1942,0.000000,0.000027
1943,0.000000,0.000018
1944,0.000000,0.000019
1945,0.000000,0.000016
1946,0.000000,0.000011
1947,0.000000,0.000014
1948,0.000000,0.000013
1949,0.000000,0.000018
1950,0.000000,0.000019
1951,0.000000,0.000020
1952,0.000000,0.000022
1953,0.000000,0.000031
1954,0.000000,0.000031
1955,0.000000,0.000037
1956,0.000000,0.000039
1957,0.000000,0.000033
1958,0.000000,0.000045
1959,0.000000,0.000044
1960,0.000000,0.000049
1961,0.000000,0.000049
1962,0.000000,0.000053
1963,0.000000,0.000060
1964,0.000000,0.000065
1965,0.000000,0.000061
1966,0.000000,0.000067
1967,0.000000,0.000079
1968,0.000000,0.000072
1969,0.000001,0.000074
1970,0.000000,0.000075
1971,0.000000,0.000077
1972,0.000000,0.000071
1973,0.000000,0.000075
1974,0.000000,0.000076
1975,0.000000,0.000065
1976,0.000000,0.000065
1977,0.000000,0.000064
1978,0.000000,0.000057
1979,0.000000,0.000058
1980,0.000000,0.000061
1981,0.000000,0.000064
1982,0.000000,0.000061
1983,0.000000,0.000051
1984,0.000000,0.000053
1985,0.000000,0.000050
1986,0.000000,0.000050
1987,0.000000,0.000045
1988,0.000000,0.000043
1989,0.000000,0.000048
1990,0.000000,0.000047
1991,0.000000,0.000041
1992,0.000000,0.000045
1993,0.000000,0.000040
1994,0.000000,0.000038
1995,0.000000,0.000042
1996,0.000000,0.000034
1997,0.000000,0.000039
1998,0.000000,0.000041
1999,0.000000,0.000041
2000,0.000000,0.000035
2001,0.000000,0.000034
2002,0.000000,0.000026
2003,0.000000,0.000034
2004,0.000000,0.000029
2005,0.000000,0.000034
2006,0.000000,0.000030
2007,0.000000,0.000029
2008,0.000000,0.000027
2009,0.000000,0.000029
2010,0.000000,0.000028
2011,0.000000,0.000018
2012,0.000000,0.000025
2013,0.000000,0.000027
2014,0.000000,0.000036
2015,0.000000,0.000033
2016,0.000000,0.000036
2017,0.000000,0.000041
2018,0.000000,0.000035
2019,0.000000,0.000035
2020,0.000000,0.000034
