year,Hollis (F),Hollis (M)
1880,0.000000,0.000035
1881,0.000000,0.000026
1882,0.000000,0.000036
1883,0.000000,0.000055
1884,0.000000,0.000041
1885,0.000000,0.000037
1886,0.000000,0.000035
1887,0.000000,0.000049
1888,0.000000,0.000040
1889,0.000000,0.000035
1890,0.000000,0.000033
1891,0.000000,0.000049
1892,0.000000,0.000042
1893,0.000000,0.000049
1894,0.000000,0.000035
1895,0.000017,0.000068
1896,0.000000,0.000031
1897,0.000000,0.000052
1898,0.000000,0.000052
1899,0.000000,0.000044
1900,0.000000,0.000078
1901,0.000000,0.000069
1902,0.000021,0.000070
1903,0.000016,0.000071
1904,0.000017,0.000069
1905,0.000014,0.000059
1906,0.000000,0.000070
1907,0.000019,0.000080
1908,0.000031,0.000115
1909,0.000022,0.000080
1910,0.000014,0.000078
1911,0.000017,0.000093
1912,0.000011,0.000115
1913,0.000013,0.000121
1914,0.000008,0.000112
1915,0.000014,0.000120
1916,0.000009,0.000107
1917,0.000013,0.000111
1918,0.000011,0.000121
1919,0.000011,0.000118
1920,0.000009,0.000121
1921,0.000017,0.000126
1922,0.000010,0.000120
1923,0.000010,0.000112
1924,0.000008,0.000122
1925,0.000009,0.000108
1926,0.000006,0.000120
1927,0.000010,0.000109
1928,0.000005,0.000113
1929,0.000008,0.000107
1930,0.000010,0.000121
1931,0.000008,0.000114
1932,0.000006,0.000106
1933,0.000007,0.000118
1934,0.000006,0.000106
1935,0.000006,0.000089
1936,0.000006,0.000084
1937,0.000008,0.000091
1938,0.000006,0.000079
1939,0.000008,0.000089
1940,0.000008,0.000086
1941,0.000007,0.000076
1942,0.000006,0.000065
1943,0.000011,0.000073
1944,0.000022,0.000061
1945,0.000016,0.000063
1946,0.000019,0.000061
1947,0.000017,0.000054
1948,0.000028,0.000044
1949,0.000024,0.000047
1950,0.000020,0.000041
1951,0.000029,0.000042
1952,0.000033,0.000038
1953,0.000037,0.000039
1954,0.000031,0.000049
1955,0.000027,0.000040
1956,0.000025,0.000034
1957,0.000018,0.000030
1958,0.000018,0.000038
1959,0.000011,0.000029
1960,0.000013,0.000031
1961,0.000008,0.000026
1962,0.000011,0.000024
1963,0.000012,0.000021
1964,0.000009,0.000025
1965,0.000007,0.000024
1966,0.000009,0.000025
1967,0.000009,0.000020
1968,0.000005,0.000025
1969,0.000006,0.000022
1970,0.000008,0.000022
1971,0.000005,0.000023
1972,0.000007,0.000022
1973,0.000007,0.000021
1974,0.000007,0.000024
1975,0.000006,0.000015
1976,0.000005,0.000021
1977,0.000006,0.000022
1978,0.000006,0.000021
1979,0.000005,0.000019
1980,0.000007,0.000018
1981,0.000007,0.000013
1982,0.000006,0.000014
1983,0.000008,0.000015
1984,0.000010,0.000013
1985,0.000008,0.000015
1986,0.000007,0.000009
1987,0.000007,0.000013
1988,0.000008,0.000011
1989,0.000010,0.000011
1990,0.000011,0.000011
1991,0.000007,0.000014
1992,0.000009,0.000013
1993,0.000006,0.000012
1994,0.000006,0.000009
1995,0.000007,0.000012
1996,0.000006,0.000011
1997,0.000009,0.000009
1998,0.000008,0.000011
1999,0.000005,0.000016
2000,0.000005,0.000008
2001,0.000007,0.000010
2002,0.000007,0.000011
2003,0.000006,0.000014
2004,0.000007,0.000009
2005,0.000008,0.000010
2006,0.000010,0.000015
2007,0.000010,0.000017
2008,0.000012,0.000019
2009,0.000010,0.000020
2010,0.000013,0.000024
2011,0.000016,0.000028
2012,0.000018,0.000030
