year,Harolyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,7
1934,0
1935,5
1936,10
1937,33
1938,20
1939,12
1940,7
1941,13
1942,11
1943,13
1944,12
1945,45
1946,19
1947,28
1948,14
1949,11
1950,11
1951,13
1952,27
1953,13
1954,12
1955,17
1956,15
1957,17
1958,13
1959,18
1960,13
1961,15
1962,6
1963,10
1964,18
1965,9
1966,24
1967,5
1968,8
1969,19
1970,8
1971,5
1972,9
1973,5
1974,0
1975,0
1976,0
1977,0
1978,5
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
