year,Henretta
1880,0
1881,0
1882,6
1883,0
1884,6
1885,5
1886,0
1887,8
1888,5
1889,5
1890,8
1891,5
1892,0
1893,11
1894,18
1895,9
1896,11
1897,11
1898,10
1899,7
1900,16
1901,9
1902,10
1903,14
1904,11
1905,16
1906,16
1907,20
1908,13
1909,18
1910,19
1911,21
1912,20
1913,27
1914,25
1915,30
1916,50
1917,48
1918,25
1919,38
1920,29
1921,25
1922,32
1923,38
1924,29
1925,24
1926,33
1927,30
1928,25
1929,23
1930,21
1931,22
1932,17
1933,28
1934,17
1935,16
1936,21
1937,16
1938,12
1939,19
1940,10
1941,10
1942,15
1943,11
1944,10
1945,10
1946,9
1947,11
1948,8
1949,8
1950,6
1951,6
1952,11
1953,15
1954,6
1955,13
1956,13
1957,8
1958,9
1959,7
1960,11
1961,8
1962,0
1963,0
1964,0
1965,5
1966,0
1967,7
1968,0
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
