year,Harper (F),Harper (M)
1880,0.000000,0.000000
1881,0.000000,0.000047
1882,0.000000,0.000023
1883,0.000000,0.000046
1884,0.000000,0.000029
1885,0.000000,0.000037
1886,0.000000,0.000027
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000020
1891,0.000000,0.000021
1892,0.000000,0.000015
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000034
1896,0.000000,0.000017
1897,0.000000,0.000017
1898,0.000000,0.000018
1899,0.000000,0.000024
1900,0.000000,0.000016
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000031
1906,0.000000,0.000026
1907,0.000000,0.000011
1908,0.000000,0.000012
1909,0.000000,0.000000
1910,0.000000,0.000010
1911,0.000000,0.000000
1912,0.000000,0.000018
1913,0.000000,0.000014
1914,0.000000,0.000014
1915,0.000000,0.000015
1916,0.000000,0.000009
1917,0.000000,0.000010
1918,0.000000,0.000008
1919,0.000000,0.000008
1920,0.000000,0.000012
1921,0.000000,0.000010
1922,0.000000,0.000014
1923,0.000000,0.000006
1924,0.000000,0.000012
1925,0.000000,0.000009
1926,0.000000,0.000010
1927,0.000000,0.000009
1928,0.000000,0.000008
1929,0.000000,0.000007
1930,0.000000,0.000009
1931,0.000000,0.000005
1932,0.000000,0.000008
1933,0.000000,0.000006
1934,0.000000,0.000007
1935,0.000000,0.000006
1936,0.000000,0.000006
1937,0.000000,0.000006
1938,0.000000,0.000008
1939,0.000000,0.000007
1940,0.000000,0.000004
1941,0.000000,0.000005
1942,0.000000,0.000005
1943,0.000000,0.000002
1944,0.000000,0.000006
1945,0.000000,0.000003
1946,0.000000,0.000003
1947,0.000000,0.000003
1948,0.000000,0.000005
1949,0.000000,0.000003
1950,0.000000,0.000003
1951,0.000000,0.000003
1952,0.000000,0.000003
1953,0.000000,0.000001
1954,0.000000,0.000002
1955,0.000000,0.000002
1956,0.000000,0.000004
1957,0.000000,0.000001
1958,0.000000,0.000002
1959,0.000000,0.000003
1960,0.000000,0.000001
1961,0.000000,0.000002
1962,0.000000,0.000000
1963,0.000000,0.000002
1964,0.000000,0.000002
1965,0.000000,0.000002
1966,0.000000,0.000002
1967,0.000000,0.000001
1968,0.000000,0.000004
1969,0.000000,0.000003
1970,0.000000,0.000003
1971,0.000001,0.000005
1972,0.000000,0.000003
1973,0.000000,0.000003
1974,0.000003,0.000002
1975,0.000002,0.000003
1976,0.000003,0.000003
1977,0.000002,0.000003
1978,0.000003,0.000003
1979,0.000000,0.000002
1980,0.000001,0.000003
1981,0.000002,0.000002
1982,0.000002,0.000003
1983,0.000001,0.000003
1984,0.000001,0.000002
1985,0.000004,0.000004
1986,0.000002,0.000002
1987,0.000002,0.000002
1988,0.000002,0.000003
1989,0.000003,0.000003
1990,0.000003,0.000003
1991,0.000005,0.000004
1992,0.000005,0.000004
1993,0.000006,0.000004
1994,0.000009,0.000003
1995,0.000014,0.000005
1996,0.000029,0.000011
1997,0.000024,0.000008
1998,0.000025,0.000011
1999,0.000030,0.000012
2000,0.000036,0.000012
2001,0.000047,0.000015
2002,0.000044,0.000020
2003,0.000053,0.000019
2004,0.000072,0.000020
2005,0.000094,0.000036
2006,0.000151,0.000049
2007,0.000182,0.000058
2008,0.000287,0.000063
2009,0.000498,0.000083
2010,0.000713,0.000092
2011,0.001279,0.000110
2012,0.001969,0.000114
2013,0.002274,0.000101
2014,0.002596,0.000089
2015,0.002787,0.000092
2016,0.002947,0.000081
2017,0.002945,0.000080
2018,0.003030,0.000061
2019,0.003028,0.000058
2020,0.002656,0.000044
