year,Harlen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,5
1909,0
1910,5
1911,5
1912,12
1913,17
1914,25
1915,38
1916,41
1917,29
1918,37
1919,39
1920,40
1921,43
1922,51
1923,45
1924,50
1925,46
1926,39
1927,46
1928,43
1929,38
1930,55
1931,48
1932,60
1933,58
1934,48
1935,58
1936,65
1937,35
1938,45
1939,45
1940,47
1941,34
1942,36
1943,44
1944,40
1945,30
1946,25
1947,42
1948,41
1949,21
1950,27
1951,19
1952,35
1953,24
1954,19
1955,24
1956,34
1957,25
1958,23
1959,24
1960,22
1961,23
1962,21
1963,18
1964,19
1965,17
1966,18
1967,17
1968,20
1969,22
1970,14
1971,9
1972,11
1973,9
1974,9
1975,9
1976,6
1977,17
1978,10
1979,18
1980,16
1981,11
1982,7
1983,12
1984,9
1985,5
1986,7
1987,13
1988,7
1989,10
1990,12
1991,8
1992,13
1993,12
1994,17
1995,8
1996,8
1997,9
1998,13
1999,10
2000,10
2001,14
2002,7
2003,17
2004,15
2005,19
2006,22
2007,20
2008,33
2009,38
2010,42
2011,51
2012,42
