year,Hillel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,9
1930,7
1931,5
1932,0
1933,7
1934,6
1935,5
1936,5
1937,5
1938,6
1939,0
1940,0
1941,7
1942,8
1943,5
1944,0
1945,0
1946,0
1947,0
1948,5
1949,8
1950,0
1951,5
1952,9
1953,8
1954,10
1955,6
1956,8
1957,13
1958,6
1959,8
1960,6
1961,11
1962,0
1963,8
1964,6
1965,5
1966,9
1967,11
1968,10
1969,11
1970,10
1971,8
1972,12
1973,8
1974,13
1975,10
1976,9
1977,11
1978,15
1979,18
1980,17
1981,17
1982,11
1983,15
1984,18
1985,17
1986,11
1987,17
1988,13
1989,14
1990,20
1991,19
1992,22
1993,10
1994,11
1995,19
1996,16
1997,12
1998,15
1999,17
2000,21
2001,22
2002,28
2003,19
2004,35
2005,24
2006,23
2007,22
2008,22
2009,32
2010,24
2011,26
2012,29
