year,Herschel (F),Herschel (M)
1880,0.000000,0.000055
1881,0.000000,0.000042
1882,0.000000,0.000041
1883,0.000000,0.000041
1884,0.000000,0.000086
1885,0.000000,0.000042
1886,0.000000,0.000074
1887,0.000000,0.000073
1888,0.000000,0.000087
1889,0.000000,0.000066
1890,0.000000,0.000063
1891,0.000000,0.000066
1892,0.000000,0.000069
1893,0.000000,0.000086
1894,0.000000,0.000071
1895,0.000000,0.000066
1896,0.000000,0.000081
1897,0.000000,0.000092
1898,0.000000,0.000100
1899,0.000000,0.000080
1900,0.000000,0.000082
1901,0.000000,0.000110
1902,0.000000,0.000085
1903,0.000000,0.000102
1904,0.000000,0.000062
1905,0.000000,0.000104
1906,0.000000,0.000075
1907,0.000000,0.000086
1908,0.000000,0.000065
1909,0.000000,0.000076
1910,0.000000,0.000080
1911,0.000000,0.000075
1912,0.000000,0.000138
1913,0.000000,0.000120
1914,0.000000,0.000109
1915,0.000000,0.000123
1916,0.000000,0.000119
1917,0.000000,0.000115
1918,0.000000,0.000118
1919,0.000000,0.000111
1920,0.000000,0.000108
1921,0.000000,0.000119
1922,0.000000,0.000106
1923,0.000000,0.000104
1924,0.000000,0.000103
1925,0.000000,0.000089
1926,0.000000,0.000091
1927,0.000000,0.000088
1928,0.000000,0.000093
1929,0.000000,0.000081
1930,0.000000,0.000077
1931,0.000000,0.000084
1932,0.000000,0.000073
1933,0.000000,0.000071
1934,0.000000,0.000064
1935,0.000000,0.000071
1936,0.000000,0.000062
1937,0.000000,0.000062
1938,0.000000,0.000070
1939,0.000000,0.000063
1940,0.000000,0.000058
1941,0.000000,0.000055
1942,0.000000,0.000048
1943,0.000000,0.000036
1944,0.000000,0.000053
1945,0.000000,0.000045
1946,0.000000,0.000043
1947,0.000000,0.000038
1948,0.000000,0.000039
1949,0.000000,0.000036
1950,0.000000,0.000033
1951,0.000000,0.000033
1952,0.000000,0.000026
1953,0.000000,0.000028
1954,0.000000,0.000023
1955,0.000000,0.000029
1956,0.000000,0.000021
1957,0.000000,0.000023
1958,0.000000,0.000023
1959,0.000000,0.000019
1960,0.000000,0.000016
1961,0.000000,0.000017
1962,0.000000,0.000020
1963,0.000000,0.000016
1964,0.000000,0.000014
1965,0.000000,0.000015
1966,0.000000,0.000013
1967,0.000000,0.000015
1968,0.000000,0.000013
1969,0.000000,0.000017
1970,0.000000,0.000013
1971,0.000000,0.000016
1972,0.000000,0.000018
1973,0.000000,0.000011
1974,0.000000,0.000012
1975,0.000000,0.000011
1976,0.000000,0.000012
1977,0.000000,0.000009
1978,0.000000,0.000008
1979,0.000000,0.000008
1980,0.000000,0.000009
1981,0.000000,0.000009
1982,0.000000,0.000015
1983,0.000000,0.000016
1984,0.000000,0.000009
1985,0.000000,0.000008
1986,0.000000,0.000013
1987,0.000000,0.000011
1988,0.000000,0.000013
1989,0.000000,0.000010
1990,0.000000,0.000012
1991,0.000000,0.000008
1992,0.000000,0.000009
1993,0.000000,0.000007
1994,0.000000,0.000005
1995,0.000000,0.000007
1996,0.000000,0.000004
1997,0.000000,0.000005
1998,0.000000,0.000005
1999,0.000000,0.000007
2000,0.000000,0.000005
2001,0.000000,0.000005
2002,0.000000,0.000002
2003,0.000000,0.000004
2004,0.000000,0.000003
2005,0.000000,0.000002
2006,0.000000,0.000007
2007,0.000000,0.000003
2008,0.000000,0.000003
2009,0.000000,0.000004
2010,0.000000,0.000003
2011,0.000000,0.000002
2012,0.000000,0.000005
2013,0.000000,0.000004
2014,0.000000,0.000004
2015,0.000000,0.000007
2016,0.000000,0.000008
2017,0.000000,0.000006
2018,0.000000,0.000007
2019,0.000000,0.000010
2020,0.000000,0.000011
