year,Harrold
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,10
1907,0
1908,0
1909,0
1910,5
1911,0
1912,10
1913,13
1914,24
1915,29
1916,22
1917,19
1918,22
1919,40
1920,34
1921,30
1922,32
1923,46
1924,35
1925,26
1926,42
1927,30
1928,24
1929,27
1930,29
1931,31
1932,27
1933,23
1934,24
1935,27
1936,11
1937,25
1938,17
1939,20
1940,21
1941,19
1942,18
1943,20
1944,8
1945,10
1946,24
1947,17
1948,21
1949,13
1950,16
1951,11
1952,9
1953,9
1954,11
1955,9
1956,7
1957,8
1958,8
1959,11
1960,6
1961,9
1962,0
1963,8
1964,10
1965,8
1966,0
1967,6
1968,0
1969,0
1970,7
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
