year,German (F),German (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000016
1910,0.000000,0.000008
1911,0.000000,0.000008
1912,0.000000,0.000000
1913,0.000000,0.000009
1914,0.000000,0.000007
1915,0.000000,0.000009
1916,0.000000,0.000009
1917,0.000000,0.000006
1918,0.000000,0.000004
1919,0.000000,0.000004
1920,0.000000,0.000005
1921,0.000000,0.000005
1922,0.000000,0.000006
1923,0.000000,0.000006
1924,0.000000,0.000004
1925,0.000000,0.000004
1926,0.000000,0.000006
1927,0.000000,0.000003
1928,0.000000,0.000005
1929,0.000000,0.000007
1930,0.000000,0.000008
1931,0.000000,0.000004
1932,0.000000,0.000004
1933,0.000000,0.000005
1934,0.000000,0.000003
1935,0.000000,0.000004
1936,0.000000,0.000006
1937,0.000000,0.000003
1938,0.000000,0.000002
1939,0.000000,0.000004
1940,0.000000,0.000004
1941,0.000000,0.000004
1942,0.000000,0.000003
1943,0.000000,0.000003
1944,0.000000,0.000003
1945,0.000000,0.000004
1946,0.000000,0.000004
1947,0.000000,0.000003
1948,0.000000,0.000004
1949,0.000000,0.000002
1950,0.000000,0.000003
1951,0.000000,0.000003
1952,0.000000,0.000004
1953,0.000000,0.000004
1954,0.000000,0.000006
1955,0.000000,0.000005
1956,0.000000,0.000007
1957,0.000000,0.000005
1958,0.000000,0.000008
1959,0.000000,0.000006
1960,0.000000,0.000007
1961,0.000000,0.000007
1962,0.000000,0.000006
1963,0.000000,0.000010
1964,0.000000,0.000008
1965,0.000000,0.000012
1966,0.000000,0.000016
1967,0.000000,0.000009
1968,0.000000,0.000010
1969,0.000000,0.000015
1970,0.000000,0.000016
1971,0.000000,0.000015
1972,0.000000,0.000020
1973,0.000000,0.000025
1974,0.000000,0.000023
1975,0.000000,0.000029
1976,0.000000,0.000025
1977,0.000000,0.000027
1978,0.000000,0.000028
1979,0.000000,0.000031
1980,0.000000,0.000031
1981,0.000000,0.000036
1982,0.000000,0.000033
1983,0.000000,0.000036
1984,0.000000,0.000034
1985,0.000000,0.000033
1986,0.000000,0.000029
1987,0.000000,0.000033
1988,0.000000,0.000040
1989,0.000000,0.000070
1990,0.000000,0.000068
1991,0.000000,0.000078
1992,0.000000,0.000063
1993,0.000001,0.000063
1994,0.000000,0.000068
1995,0.000000,0.000067
1996,0.000000,0.000071
1997,0.000000,0.000069
1998,0.000000,0.000057
1999,0.000000,0.000059
2000,0.000000,0.000067
2001,0.000000,0.000073
2002,0.000000,0.000061
2003,0.000000,0.000070
2004,0.000000,0.000056
2005,0.000000,0.000065
2006,0.000000,0.000060
2007,0.000000,0.000054
2008,0.000000,0.000062
2009,0.000000,0.000056
2010,0.000000,0.000050
2011,0.000000,0.000041
2012,0.000000,0.000045
2013,0.000000,0.000042
