year,Garet
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,6
1942,0
1943,7
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,5
1964,7
1965,10
1966,6
1967,9
1968,7
1969,9
1970,27
1971,7
1972,7
1973,10
1974,6
1975,6
1976,12
1977,11
1978,19
1979,20
1980,24
1981,19
1982,22
1983,19
1984,29
1985,37
1986,38
1987,28
1988,32
1989,51
1990,38
1991,28
1992,42
1993,42
1994,38
1995,51
1996,53
1997,53
1998,52
1999,71
2000,52
2001,50
2002,53
2003,34
2004,40
2005,39
2006,51
2007,28
2008,41
2009,31
2010,23
2011,10
2012,17
