year,Gerard (F),Gerard (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000031
1890,0.000000,0.000000
1891,0.000000,0.000028
1892,0.000000,0.000015
1893,0.000000,0.000000
1894,0.000000,0.000027
1895,0.000000,0.000040
1896,0.000000,0.000028
1897,0.000000,0.000014
1898,0.000000,0.000013
1899,0.000000,0.000015
1900,0.000000,0.000024
1901,0.000000,0.000043
1902,0.000000,0.000021
1903,0.000000,0.000029
1904,0.000000,0.000045
1905,0.000000,0.000059
1906,0.000000,0.000058
1907,0.000000,0.000069
1908,0.000000,0.000061
1909,0.000000,0.000076
1910,0.000000,0.000083
1911,0.000000,0.000138
1912,0.000000,0.000151
1913,0.000004,0.000177
1914,0.000000,0.000167
1915,0.000000,0.000176
1916,0.000000,0.000186
1917,0.000000,0.000206
1918,0.000000,0.000206
1919,0.000000,0.000194
1920,0.000000,0.000180
1921,0.000000,0.000227
1922,0.000002,0.000237
1923,0.000000,0.000241
1924,0.000000,0.000227
1925,0.000000,0.000238
1926,0.000003,0.000254
1927,0.000000,0.000271
1928,0.000000,0.000262
1929,0.000000,0.000252
1930,0.000002,0.000270
1931,0.000000,0.000262
1932,0.000000,0.000257
1933,0.000000,0.000268
1934,0.000002,0.000262
1935,0.000000,0.000251
1936,0.000000,0.000225
1937,0.000000,0.000224
1938,0.000000,0.000242
1939,0.000000,0.000236
1940,0.000000,0.000240
1941,0.000002,0.000283
1942,0.000000,0.000305
1943,0.000000,0.000273
1944,0.000000,0.000268
1945,0.000000,0.000257
1946,0.000000,0.000276
1947,0.000001,0.000273
1948,0.000000,0.000282
1949,0.000000,0.000300
1950,0.000000,0.000331
1951,0.000000,0.000354
1952,0.000002,0.000352
1953,0.000000,0.000354
1954,0.000000,0.000382
1955,0.000001,0.000379
1956,0.000000,0.000393
1957,0.000000,0.000361
1958,0.000001,0.000356
1959,0.000000,0.000336
1960,0.000000,0.000335
1961,0.000001,0.000316
1962,0.000002,0.000277
1963,0.000000,0.000272
1964,0.000001,0.000263
1965,0.000001,0.000228
1966,0.000000,0.000229
1967,0.000000,0.000196
1968,0.000000,0.000173
1969,0.000000,0.000156
1970,0.000000,0.000151
1971,0.000000,0.000151
1972,0.000000,0.000127
1973,0.000000,0.000125
1974,0.000002,0.000127
1975,0.000000,0.000132
1976,0.000002,0.000121
1977,0.000000,0.000110
1978,0.000000,0.000106
1979,0.000002,0.000101
1980,0.000000,0.000099
1981,0.000000,0.000091
1982,0.000000,0.000104
1983,0.000000,0.000087
1984,0.000000,0.000096
1985,0.000000,0.000096
1986,0.000002,0.000093
1987,0.000002,0.000087
1988,0.000000,0.000088
1989,0.000000,0.000085
1990,0.000000,0.000089
1991,0.000000,0.000079
1992,0.000000,0.000070
1993,0.000000,0.000066
1994,0.000000,0.000069
1995,0.000000,0.000058
1996,0.000000,0.000053
1997,0.000000,0.000052
1998,0.000000,0.000048
1999,0.000000,0.000047
2000,0.000000,0.000051
2001,0.000000,0.000039
2002,0.000000,0.000042
2003,0.000000,0.000035
2004,0.000000,0.000032
2005,0.000000,0.000029
2006,0.000000,0.000030
2007,0.000000,0.000025
2008,0.000000,0.000032
2009,0.000000,0.000034
2010,0.000000,0.000038
2011,0.000000,0.000047
2012,0.000000,0.000047
2013,0.000000,0.000050
2014,0.000000,0.000055
2015,0.000000,0.000049
2016,0.000000,0.000044
2017,0.000000,0.000045
2018,0.000000,0.000042
2019,0.000000,0.000033
2020,0.000000,0.000036
