year,Garth (F),Garth (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000012
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000010
1910,0.000000,0.000000
1911,0.000000,0.000009
1912,0.000000,0.000006
1913,0.000000,0.000021
1914,0.000000,0.000016
1915,0.000000,0.000037
1916,0.000000,0.000027
1917,0.000000,0.000039
1918,0.000000,0.000027
1919,0.000000,0.000038
1920,0.000000,0.000035
1921,0.000000,0.000033
1922,0.000000,0.000029
1923,0.000000,0.000043
1924,0.000000,0.000033
1925,0.000000,0.000029
1926,0.000000,0.000033
1927,0.000000,0.000034
1928,0.000000,0.000030
1929,0.000000,0.000033
1930,0.000000,0.000024
1931,0.000000,0.000025
1932,0.000000,0.000033
1933,0.000000,0.000036
1934,0.000000,0.000036
1935,0.000000,0.000034
1936,0.000000,0.000028
1937,0.000000,0.000039
1938,0.000000,0.000037
1939,0.000000,0.000027
1940,0.000000,0.000037
1941,0.000000,0.000030
1942,0.000000,0.000037
1943,0.000000,0.000030
1944,0.000000,0.000031
1945,0.000000,0.000024
1946,0.000000,0.000025
1947,0.000000,0.000028
1948,0.000000,0.000023
1949,0.000000,0.000028
1950,0.000000,0.000028
1951,0.000000,0.000030
1952,0.000000,0.000028
1953,0.000000,0.000042
1954,0.000000,0.000067
1955,0.000000,0.000050
1956,0.000000,0.000042
1957,0.000000,0.000035
1958,0.000000,0.000037
1959,0.000000,0.000045
1960,0.000000,0.000048
1961,0.000000,0.000051
1962,0.000000,0.000046
1963,0.000000,0.000053
1964,0.000000,0.000061
1965,0.000000,0.000044
1966,0.000000,0.000049
1967,0.000000,0.000046
1968,0.000000,0.000040
1969,0.000000,0.000055
1970,0.000000,0.000053
1971,0.000000,0.000043
1972,0.000000,0.000048
1973,0.000000,0.000050
1974,0.000000,0.000051
1975,0.000000,0.000045
1976,0.000000,0.000037
1977,0.000000,0.000033
1978,0.000000,0.000037
1979,0.000000,0.000037
1980,0.000000,0.000031
1981,0.000000,0.000039
1982,0.000000,0.000028
1983,0.000000,0.000021
1984,0.000000,0.000022
1985,0.000000,0.000017
1986,0.000000,0.000017
1987,0.000000,0.000017
1988,0.000000,0.000014
1989,0.000000,0.000014
1990,0.000000,0.000021
1991,0.000000,0.000051
1992,0.000000,0.000065
1993,0.000000,0.000033
1994,0.000000,0.000017
1995,0.000000,0.000015
1996,0.000000,0.000014
1997,0.000000,0.000013
1998,0.000000,0.000014
1999,0.000000,0.000010
2000,0.000000,0.000006
2001,0.000000,0.000008
2002,0.000000,0.000005
2003,0.000000,0.000004
2004,0.000000,0.000004
2005,0.000000,0.000004
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000005
2009,0.000000,0.000002
2010,0.000000,0.000004
2011,0.000000,0.000002
2012,0.000000,0.000002
