year,Gaither
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,5
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,6
1912,9
1913,11
1914,14
1915,18
1916,9
1917,19
1918,21
1919,15
1920,16
1921,16
1922,21
1923,15
1924,13
1925,18
1926,17
1927,14
1928,14
1929,9
1930,12
1931,11
1932,12
1933,12
1934,11
1935,7
1936,12
1937,12
1938,19
1939,8
1940,6
1941,8
1942,16
1943,13
1944,7
1945,9
1946,11
1947,12
1948,13
1949,12
1950,9
1951,8
1952,8
1953,13
1954,12
1955,10
1956,8
1957,7
1958,7
1959,0
1960,8
1961,9
1962,0
1963,0
1964,0
1965,7
1966,0
1967,0
1968,0
1969,0
1970,0
1971,5
1972,0
1973,0
1974,0
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
