year,Glen (F),Glen (M)
1880,0.000000,0.000119
1881,0.000000,0.000161
1882,0.000000,0.000122
1883,0.000000,0.000124
1884,0.000021,0.000193
1885,0.000021,0.000187
1886,0.000000,0.000192
1887,0.000020,0.000210
1888,0.000017,0.000257
1889,0.000000,0.000201
1890,0.000020,0.000226
1891,0.000000,0.000296
1892,0.000018,0.000317
1893,0.000000,0.000237
1894,0.000018,0.000319
1895,0.000000,0.000291
1896,0.000020,0.000316
1897,0.000017,0.000254
1898,0.000018,0.000291
1899,0.000000,0.000298
1900,0.000013,0.000298
1901,0.000014,0.000304
1902,0.000000,0.000318
1903,0.000018,0.000317
1904,0.000017,0.000297
1905,0.000014,0.000302
1906,0.000026,0.000280
1907,0.000011,0.000322
1908,0.000000,0.000323
1909,0.000016,0.000348
1910,0.000000,0.000311
1911,0.000008,0.000359
1912,0.000012,0.000466
1913,0.000008,0.000533
1914,0.000008,0.000602
1915,0.000011,0.000607
1916,0.000012,0.000598
1917,0.000011,0.000615
1918,0.000014,0.000607
1919,0.000010,0.000658
1920,0.000010,0.000625
1921,0.000009,0.000645
1922,0.000012,0.000604
1923,0.000012,0.000630
1924,0.000007,0.000638
1925,0.000011,0.000659
1926,0.000016,0.000661
1927,0.000016,0.000698
1928,0.000014,0.000703
1929,0.000013,0.000652
1930,0.000013,0.000718
1931,0.000013,0.000742
1932,0.000009,0.000694
1933,0.000013,0.000668
1934,0.000008,0.000694
1935,0.000011,0.000668
1936,0.000009,0.000693
1937,0.000011,0.000638
1938,0.000009,0.000661
1939,0.000009,0.000647
1940,0.000010,0.000622
1941,0.000006,0.000578
1942,0.000005,0.000520
1943,0.000004,0.000512
1944,0.000005,0.000540
1945,0.000007,0.000525
1946,0.000007,0.000525
1947,0.000003,0.000575
1948,0.000006,0.000593
1949,0.000006,0.000632
1950,0.000005,0.000620
1951,0.000006,0.000602
1952,0.000006,0.000656
1953,0.000004,0.000620
1954,0.000006,0.000626
1955,0.000006,0.000621
1956,0.000005,0.000659
1957,0.000005,0.000696
1958,0.000005,0.000674
1959,0.000005,0.000649
1960,0.000002,0.000588
1961,0.000004,0.000649
1962,0.000005,0.000702
1963,0.000003,0.000596
1964,0.000002,0.000546
1965,0.000004,0.000571
1966,0.000003,0.000503
1967,0.000003,0.000504
1968,0.000004,0.000495
1969,0.000004,0.000645
1970,0.000004,0.000554
1971,0.000003,0.000445
1972,0.000002,0.000367
1973,0.000002,0.000288
1974,0.000003,0.000270
1975,0.000000,0.000267
1976,0.000002,0.000247
1977,0.000000,0.000210
1978,0.000000,0.000206
1979,0.000000,0.000176
1980,0.000001,0.000175
1981,0.000002,0.000176
1982,0.000000,0.000167
1983,0.000000,0.000152
1984,0.000001,0.000157
1985,0.000002,0.000143
1986,0.000000,0.000130
1987,0.000000,0.000140
1988,0.000001,0.000137
1989,0.000000,0.000125
1990,0.000000,0.000114
1991,0.000000,0.000107
1992,0.000000,0.000096
1993,0.000000,0.000089
1994,0.000000,0.000086
1995,0.000000,0.000083
1996,0.000000,0.000071
1997,0.000000,0.000065
1998,0.000000,0.000059
1999,0.000000,0.000054
2000,0.000000,0.000057
2001,0.000000,0.000052
2002,0.000000,0.000048
2003,0.000000,0.000044
2004,0.000000,0.000039
2005,0.000000,0.000033
2006,0.000000,0.000031
2007,0.000000,0.000033
2008,0.000000,0.000029
2009,0.000000,0.000031
2010,0.000000,0.000026
2011,0.000000,0.000031
2012,0.000000,0.000027
2013,0.000000,0.000028
