year,Girard
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,5
1913,7
1914,10
1915,17
1916,13
1917,18
1918,33
1919,21
1920,19
1921,23
1922,29
1923,28
1924,23
1925,18
1926,37
1927,29
1928,26
1929,32
1930,25
1931,31
1932,18
1933,18
1934,21
1935,17
1936,17
1937,30
1938,16
1939,18
1940,16
1941,27
1942,37
1943,29
1944,23
1945,16
1946,29
1947,25
1948,19
1949,24
1950,29
1951,36
1952,18
1953,37
1954,23
1955,36
1956,28
1957,36
1958,31
1959,32
1960,36
1961,33
1962,28
1963,24
1964,23
1965,16
1966,20
1967,17
1968,10
1969,12
1970,18
1971,10
1972,11
1973,9
1974,12
1975,10
1976,8
1977,7
1978,14
1979,20
1980,12
1981,15
1982,10
1983,9
1984,11
1985,7
1986,15
1987,9
1988,16
1989,8
1990,12
1991,13
1992,7
1993,6
1994,10
1995,8
1996,5
1997,9
1998,7
1999,6
2000,6
2001,0
2002,5
2003,6
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
