year,Gillis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,5
1912,12
1913,8
1914,0
1915,18
1916,18
1917,8
1918,12
1919,17
1920,15
1921,14
1922,18
1923,20
1924,12
1925,12
1926,11
1927,12
1928,14
1929,10
1930,13
1931,14
1932,16
1933,16
1934,12
1935,9
1936,6
1937,9
1938,10
1939,12
1940,9
1941,11
1942,15
1943,11
1944,16
1945,17
1946,8
1947,9
1948,13
1949,11
1950,14
1951,20
1952,13
1953,13
1954,10
1955,15
1956,14
1957,8
1958,10
1959,10
1960,8
1961,10
1962,0
1963,13
1964,10
1965,7
1966,0
1967,8
1968,5
1969,0
1970,0
1971,5
1972,0
1973,5
1974,8
1975,0
1976,5
1977,0
1978,0
1979,7
1980,0
1981,0
1982,5
1983,0
1984,0
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
