year,Gael
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,0
1921,5
1922,0
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,5
1936,14
1937,18
1938,15
1939,22
1940,10
1941,18
1942,15
1943,15
1944,14
1945,25
1946,22
1947,44
1948,25
1949,21
1950,15
1951,14
1952,27
1953,23
1954,17
1955,12
1956,19
1957,11
1958,11
1959,18
1960,8
1961,9
1962,10
1963,13
1964,7
1965,5
1966,0
1967,12
1968,6
1969,8
1970,6
1971,6
1972,7
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,6
1990,0
1991,0
1992,22
1993,17
1994,9
1995,9
1996,10
1997,12
1998,11
1999,12
2000,6
2001,47
2002,246
2003,450
2004,756
2005,1111
2006,1040
2007,1172
2008,1126
2009,1000
2010,691
2011,694
2012,2746
