year,Gatha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,9
1902,5
1903,0
1904,0
1905,0
1906,6
1907,6
1908,0
1909,5
1910,8
1911,9
1912,7
1913,11
1914,7
1915,16
1916,14
1917,17
1918,12
1919,6
1920,8
1921,15
1922,12
1923,21
1924,16
1925,15
1926,13
1927,8
1928,7
1929,18
1930,16
1931,9
1932,7
1933,12
1934,7
1935,5
1936,7
1937,10
1938,11
1939,13
1940,12
1941,12
1942,13
1943,14
1944,14
1945,8
1946,11
1947,12
1948,7
1949,12
1950,12
1951,9
1952,12
1953,6
1954,10
1955,16
1956,8
1957,6
1958,5
1959,0
1960,6
1961,5
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
