year,Gerrie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,0
1920,6
1921,8
1922,0
1923,7
1924,0
1925,10
1926,13
1927,13
1928,14
1929,15
1930,13
1931,17
1932,22
1933,16
1934,15
1935,24
1936,20
1937,14
1938,23
1939,32
1940,29
1941,38
1942,42
1943,43
1944,33
1945,38
1946,35
1947,50
1948,53
1949,24
1950,30
1951,34
1952,26
1953,21
1954,28
1955,26
1956,28
1957,43
1958,39
1959,33
1960,34
1961,27
1962,30
1963,18
1964,23
1965,23
1966,24
1967,15
1968,15
1969,25
1970,16
1971,16
1972,10
1973,20
1974,17
1975,11
1976,9
1977,11
1978,10
1979,7
1980,6
1981,7
1982,8
1983,7
1984,8
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
