year,Genna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,6
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,0
1949,0
1950,7
1951,8
1952,0
1953,7
1954,0
1955,0
1956,0
1957,6
1958,8
1959,7
1960,24
1961,7
1962,15
1963,17
1964,13
1965,8
1966,17
1967,8
1968,14
1969,15
1970,10
1971,12
1972,23
1973,22
1974,31
1975,31
1976,31
1977,22
1978,20
1979,26
1980,41
1981,56
1982,47
1983,47
1984,125
1985,105
1986,144
1987,126
1988,104
1989,94
1990,97
1991,85
1992,122
1993,83
1994,91
1995,79
1996,84
1997,72
1998,76
1999,78
2000,84
2001,79
2002,92
2003,76
2004,62
2005,68
2006,61
2007,48
2008,42
2009,38
2010,30
2011,24
2012,18
