year,Gena
1880,11
1881,0
1882,12
1883,5
1884,10
1885,11
1886,13
1887,14
1888,14
1889,12
1890,15
1891,21
1892,21
1893,14
1894,12
1895,16
1896,15
1897,9
1898,9
1899,11
1900,21
1901,13
1902,11
1903,14
1904,8
1905,15
1906,7
1907,11
1908,11
1909,6
1910,8
1911,17
1912,13
1913,19
1914,15
1915,32
1916,36
1917,25
1918,22
1919,32
1920,26
1921,33
1922,30
1923,36
1924,29
1925,30
1926,23
1927,32
1928,24
1929,26
1930,33
1931,19
1932,29
1933,28
1934,22
1935,16
1936,21
1937,9
1938,15
1939,18
1940,15
1941,19
1942,25
1943,36
1944,23
1945,30
1946,34
1947,53
1948,61
1949,53
1950,62
1951,60
1952,70
1953,73
1954,82
1955,159
1956,167
1957,166
1958,197
1959,197
1960,267
1961,273
1962,397
1963,458
1964,458
1965,325
1966,411
1967,487
1968,502
1969,389
1970,401
1971,397
1972,363
1973,314
1974,284
1975,361
1976,268
1977,297
1978,264
1979,267
1980,209
1981,212
1982,189
1983,172
1984,201
1985,172
1986,149
1987,151
1988,128
1989,126
1990,107
1991,96
1992,104
1993,98
1994,71
1995,60
1996,63
1997,68
1998,51
1999,47
2000,68
2001,51
2002,39
2003,43
2004,36
2005,30
2006,22
2007,30
2008,28
2009,21
2010,16
2011,16
2012,15
