year,Green (F),Green (M)
1880,0.000000,0.000194
1881,0.000000,0.000171
1882,0.000000,0.000122
1883,0.000000,0.000152
1884,0.000000,0.000127
1885,0.000000,0.000133
1886,0.000000,0.000176
1887,0.000000,0.000125
1888,0.000000,0.000107
1889,0.000000,0.000073
1890,0.000000,0.000109
1891,0.000000,0.000063
1892,0.000000,0.000084
1893,0.000000,0.000071
1894,0.000000,0.000065
1895,0.000000,0.000048
1896,0.000000,0.000070
1897,0.000000,0.000035
1898,0.000000,0.000073
1899,0.000000,0.000056
1900,0.000000,0.000062
1901,0.000000,0.000032
1902,0.000000,0.000057
1903,0.000000,0.000045
1904,0.000000,0.000032
1905,0.000000,0.000035
1906,0.000000,0.000040
1907,0.000000,0.000021
1908,0.000000,0.000020
1909,0.000000,0.000029
1910,0.000000,0.000034
1911,0.000000,0.000023
1912,0.000000,0.000022
1913,0.000000,0.000028
1914,0.000000,0.000032
1915,0.000000,0.000020
1916,0.000000,0.000024
1917,0.000000,0.000021
1918,0.000000,0.000020
1919,0.000000,0.000020
1920,0.000000,0.000019
1921,0.000000,0.000018
1922,0.000000,0.000018
1923,0.000000,0.000017
1924,0.000000,0.000016
1925,0.000000,0.000013
1926,0.000000,0.000015
1927,0.000000,0.000021
1928,0.000000,0.000012
1929,0.000000,0.000015
1930,0.000000,0.000016
1931,0.000000,0.000011
1932,0.000000,0.000013
1933,0.000000,0.000013
1934,0.000000,0.000015
1935,0.000000,0.000009
1936,0.000000,0.000010
1937,0.000000,0.000009
1938,0.000000,0.000009
1939,0.000000,0.000010
1940,0.000000,0.000010
1941,0.000000,0.000006
1942,0.000000,0.000005
1943,0.000000,0.000009
1944,0.000000,0.000006
1945,0.000000,0.000005
1946,0.000000,0.000004
1947,0.000000,0.000002
1948,0.000000,0.000008
1949,0.000000,0.000003
1950,0.000000,0.000003
1951,0.000000,0.000004
1952,0.000000,0.000003
1953,0.000000,0.000003
1954,0.000000,0.000002
1955,0.000000,0.000003
1956,0.000000,0.000004
1957,0.000000,0.000002
1958,0.000000,0.000002
1959,0.000000,0.000003
1960,0.000000,0.000003
1961,0.000000,0.000003
1962,0.000000,0.000000
1963,0.000000,0.000003
1964,0.000000,0.000001
1965,0.000000,0.000002
1966,0.000000,0.000002
1967,0.000000,0.000000
1968,0.000000,0.000000
1969,0.000000,0.000000
1970,0.000000,0.000001
1971,0.000000,0.000003
1972,0.000000,0.000002
1973,0.000000,0.000002
1974,0.000000,0.000000
1975,0.000000,0.000000
1976,0.000000,0.000000
1977,0.000000,0.000000
1978,0.000000,0.000000
1979,0.000000,0.000000
1980,0.000000,0.000000
1981,0.000000,0.000000
1982,0.000000,0.000000
1983,0.000000,0.000000
1984,0.000000,0.000002
1985,0.000000,0.000000
1986,0.000000,0.000000
1987,0.000000,0.000000
1988,0.000000,0.000000
1989,0.000000,0.000000
1990,0.000000,0.000000
1991,0.000000,0.000000
1992,0.000000,0.000000
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
