year,Gertie
1880,34
1881,35
1882,65
1883,51
1884,65
1885,87
1886,81
1887,95
1888,91
1889,106
1890,121
1891,94
1892,128
1893,102
1894,128
1895,136
1896,119
1897,98
1898,115
1899,102
1900,117
1901,109
1902,140
1903,85
1904,106
1905,115
1906,110
1907,124
1908,108
1909,101
1910,131
1911,120
1912,133
1913,148
1914,175
1915,206
1916,192
1917,202
1918,220
1919,217
1920,181
1921,190
1922,178
1923,148
1924,147
1925,177
1926,147
1927,127
1928,134
1929,122
1930,147
1931,134
1932,117
1933,106
1934,108
1935,115
1936,96
1937,79
1938,95
1939,85
1940,102
1941,76
1942,78
1943,73
1944,58
1945,74
1946,64
1947,59
1948,54
1949,34
1950,40
1951,44
1952,41
1953,34
1954,39
1955,36
1956,24
1957,29
1958,15
1959,19
1960,28
1961,15
1962,8
1963,11
1964,15
1965,13
1966,7
1967,7
1968,6
1969,0
1970,0
1971,7
1972,5
1973,5
1974,7
1975,0
1976,0
1977,0
1978,5
1979,0
1980,0
1981,0
1982,5
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,7
2011,0
2012,5
