year,Geronimo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,7
1908,0
1909,0
1910,0
1911,6
1912,8
1913,15
1914,9
1915,10
1916,6
1917,6
1918,0
1919,19
1920,10
1921,15
1922,18
1923,22
1924,23
1925,22
1926,18
1927,18
1928,26
1929,22
1930,13
1931,14
1932,20
1933,6
1934,10
1935,10
1936,17
1937,14
1938,14
1939,11
1940,9
1941,16
1942,10
1943,14
1944,23
1945,15
1946,11
1947,20
1948,23
1949,18
1950,22
1951,19
1952,21
1953,26
1954,20
1955,16
1956,21
1957,18
1958,21
1959,25
1960,26
1961,30
1962,24
1963,16
1964,17
1965,21
1966,18
1967,16
1968,26
1969,25
1970,27
1971,33
1972,31
1973,31
1974,33
1975,36
1976,36
1977,40
1978,34
1979,40
1980,37
1981,40
1982,44
1983,25
1984,29
1985,28
1986,26
1987,29
1988,29
1989,22
1990,34
1991,36
1992,33
1993,18
1994,37
1995,44
1996,38
1997,42
1998,44
1999,40
2000,44
2001,47
2002,41
2003,34
2004,34
2005,53
2006,42
2007,44
2008,43
2009,55
2010,28
2011,39
2012,54
