year,Ginny
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,7
1924,10
1925,0
1926,5
1927,10
1928,11
1929,6
1930,9
1931,0
1932,15
1933,15
1934,10
1935,14
1936,14
1937,13
1938,22
1939,12
1940,27
1941,43
1942,65
1943,75
1944,80
1945,119
1946,147
1947,135
1948,132
1949,81
1950,75
1951,96
1952,108
1953,97
1954,103
1955,98
1956,123
1957,226
1958,242
1959,233
1960,231
1961,210
1962,200
1963,195
1964,172
1965,113
1966,92
1967,105
1968,101
1969,98
1970,125
1971,154
1972,147
1973,138
1974,137
1975,138
1976,128
1977,142
1978,145
1979,155
1980,144
1981,149
1982,149
1983,116
1984,107
1985,103
1986,93
1987,65
1988,76
1989,59
1990,70
1991,60
1992,56
1993,41
1994,43
1995,30
1996,27
1997,22
1998,28
1999,29
2000,24
2001,18
2002,20
2003,18
2004,19
2005,17
2006,33
2007,26
2008,32
2009,22
2010,21
2011,26
2012,17
