year,Gus (F),Gus (M)
1880,0.000000,0.000491
1881,0.000000,0.000488
1882,0.000000,0.000542
1883,0.000000,0.000373
1884,0.000000,0.000481
1885,0.000000,0.000361
1886,0.000000,0.000399
1887,0.000000,0.000331
1888,0.000000,0.000444
1889,0.000000,0.000395
1890,0.000000,0.000362
1891,0.000000,0.000296
1892,0.000000,0.000350
1893,0.000000,0.000286
1894,0.000000,0.000224
1895,0.000000,0.000205
1896,0.000000,0.000266
1897,0.000000,0.000257
1898,0.000000,0.000204
1899,0.000000,0.000209
1900,0.000000,0.000266
1901,0.000000,0.000202
1902,0.000000,0.000220
1903,0.000000,0.000186
1904,0.000000,0.000186
1905,0.000000,0.000179
1906,0.000000,0.000198
1907,0.000000,0.000206
1908,0.000000,0.000164
1909,0.000000,0.000203
1910,0.000000,0.000179
1911,0.000000,0.000155
1912,0.000000,0.000165
1913,0.000000,0.000174
1914,0.000000,0.000157
1915,0.000000,0.000157
1916,0.000000,0.000149
1917,0.000000,0.000145
1918,0.000000,0.000142
1919,0.000000,0.000153
1920,0.000000,0.000138
1921,0.000000,0.000140
1922,0.000000,0.000132
1923,0.000000,0.000120
1924,0.000002,0.000125
1925,0.000000,0.000139
1926,0.000000,0.000128
1927,0.000000,0.000122
1928,0.000000,0.000116
1929,0.000000,0.000117
1930,0.000000,0.000118
1931,0.000000,0.000114
1932,0.000000,0.000106
1933,0.000000,0.000103
1934,0.000000,0.000096
1935,0.000000,0.000094
1936,0.000000,0.000087
1937,0.000000,0.000068
1938,0.000000,0.000076
1939,0.000000,0.000077
1940,0.000000,0.000066
1941,0.000000,0.000061
1942,0.000000,0.000062
1943,0.000000,0.000057
1944,0.000000,0.000056
1945,0.000000,0.000061
1946,0.000000,0.000050
1947,0.000000,0.000054
1948,0.000000,0.000052
1949,0.000000,0.000042
1950,0.000000,0.000047
1951,0.000000,0.000041
1952,0.000000,0.000046
1953,0.000000,0.000045
1954,0.000000,0.000050
1955,0.000000,0.000042
1956,0.000000,0.000040
1957,0.000000,0.000043
1958,0.000000,0.000048
1959,0.000000,0.000042
1960,0.000000,0.000048
1961,0.000000,0.000043
1962,0.000000,0.000043
1963,0.000000,0.000038
1964,0.000000,0.000037
1965,0.000000,0.000039
1966,0.000000,0.000039
1967,0.000000,0.000034
1968,0.000000,0.000028
1969,0.000000,0.000026
1970,0.000000,0.000024
1971,0.000000,0.000036
1972,0.000000,0.000030
1973,0.000000,0.000032
1974,0.000000,0.000028
1975,0.000000,0.000032
1976,0.000000,0.000027
1977,0.000000,0.000022
1978,0.000000,0.000024
1979,0.000000,0.000017
1980,0.000000,0.000019
1981,0.000000,0.000017
1982,0.000000,0.000015
1983,0.000000,0.000015
1984,0.000000,0.000013
1985,0.000000,0.000013
1986,0.000000,0.000016
1987,0.000000,0.000011
1988,0.000000,0.000012
1989,0.000000,0.000010
1990,0.000000,0.000011
1991,0.000000,0.000013
1992,0.000000,0.000013
1993,0.000000,0.000012
1994,0.000000,0.000011
1995,0.000000,0.000011
1996,0.000000,0.000008
1997,0.000000,0.000012
1998,0.000000,0.000013
1999,0.000000,0.000013
2000,0.000000,0.000011
2001,0.000000,0.000018
2002,0.000000,0.000017
2003,0.000000,0.000016
2004,0.000000,0.000022
2005,0.000000,0.000025
2006,0.000000,0.000027
2007,0.000000,0.000029
2008,0.000000,0.000032
2009,0.000000,0.000033
2010,0.000000,0.000036
2011,0.000000,0.000032
2012,0.000000,0.000033
