year,Grabiel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,6
1927,0
1928,8
1929,0
1930,0
1931,0
1932,8
1933,0
1934,6
1935,5
1936,0
1937,0
1938,0
1939,0
1940,8
1941,0
1942,5
1943,5
1944,0
1945,0
1946,0
1947,6
1948,0
1949,5
1950,0
1951,0
1952,0
1953,0
1954,0
1955,6
1956,5
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,6
1964,5
1965,7
1966,0
1967,8
1968,8
1969,5
1970,8
1971,12
1972,11
1973,6
1974,9
1975,24
1976,17
1977,20
1978,7
1979,18
1980,11
1981,11
1982,12
1983,15
1984,7
1985,13
1986,7
1987,11
1988,10
1989,13
1990,15
1991,11
1992,9
1993,10
1994,8
1995,14
1996,11
1997,8
1998,11
1999,11
2000,12
2001,7
2002,15
2003,17
2004,12
2005,10
2006,11
2007,14
2008,10
2009,5
2010,8
2011,6
2012,6
