year,Gerda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,7
1889,7
1890,10
1891,5
1892,6
1893,8
1894,8
1895,12
1896,8
1897,7
1898,14
1899,14
1900,7
1901,7
1902,0
1903,13
1904,10
1905,9
1906,15
1907,11
1908,10
1909,9
1910,18
1911,14
1912,25
1913,22
1914,20
1915,49
1916,38
1917,21
1918,26
1919,27
1920,30
1921,21
1922,18
1923,13
1924,22
1925,24
1926,27
1927,20
1928,26
1929,17
1930,31
1931,13
1932,22
1933,15
1934,19
1935,32
1936,15
1937,16
1938,27
1939,15
1940,12
1941,10
1942,9
1943,11
1944,7
1945,11
1946,7
1947,0
1948,0
1949,8
1950,12
1951,7
1952,6
1953,12
1954,8
1955,8
1956,7
1957,6
1958,5
1959,9
1960,5
1961,11
1962,7
1963,8
1964,5
1965,0
1966,5
1967,5
1968,5
1969,0
1970,0
1971,0
1972,7
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
