year,Gaylord (F),Gaylord (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000036
1888,0.000000,0.000000
1889,0.000000,0.000021
1890,0.000000,0.000000
1891,0.000000,0.000021
1892,0.000000,0.000018
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000029
1898,0.000000,0.000021
1899,0.000000,0.000027
1900,0.000000,0.000018
1901,0.000000,0.000017
1902,0.000000,0.000026
1903,0.000000,0.000018
1904,0.000000,0.000020
1905,0.000000,0.000026
1906,0.000000,0.000023
1907,0.000000,0.000032
1908,0.000000,0.000037
1909,0.000000,0.000041
1910,0.000000,0.000022
1911,0.000000,0.000025
1912,0.000000,0.000040
1913,0.000000,0.000052
1914,0.000000,0.000057
1915,0.000000,0.000059
1916,0.000000,0.000053
1917,0.000000,0.000053
1918,0.000000,0.000064
1919,0.000000,0.000052
1920,0.000000,0.000056
1921,0.000000,0.000048
1922,0.000000,0.000052
1923,0.000000,0.000056
1924,0.000000,0.000050
1925,0.000000,0.000048
1926,0.000000,0.000057
1927,0.000000,0.000058
1928,0.000000,0.000058
1929,0.000000,0.000050
1930,0.000000,0.000060
1931,0.000000,0.000079
1932,0.000000,0.000064
1933,0.000000,0.000048
1934,0.000000,0.000064
1935,0.000000,0.000052
1936,0.000000,0.000057
1937,0.000000,0.000054
1938,0.000000,0.000061
1939,0.000000,0.000056
1940,0.000000,0.000055
1941,0.000000,0.000056
1942,0.000002,0.000057
1943,0.000000,0.000051
1944,0.000000,0.000045
1945,0.000000,0.000044
1946,0.000000,0.000037
1947,0.000000,0.000033
1948,0.000000,0.000033
1949,0.000000,0.000034
1950,0.000000,0.000027
1951,0.000000,0.000024
1952,0.000000,0.000029
1953,0.000000,0.000022
1954,0.000000,0.000017
1955,0.000000,0.000016
1956,0.000000,0.000019
1957,0.000000,0.000014
1958,0.000000,0.000010
1959,0.000000,0.000012
1960,0.000000,0.000009
1961,0.000000,0.000010
1962,0.000000,0.000012
1963,0.000000,0.000010
1964,0.000000,0.000008
1965,0.000000,0.000007
1966,0.000000,0.000007
1967,0.000000,0.000010
1968,0.000000,0.000005
1969,0.000000,0.000007
1970,0.000000,0.000006
1971,0.000000,0.000010
1972,0.000000,0.000008
1973,0.000000,0.000010
1974,0.000000,0.000006
1975,0.000000,0.000007
1976,0.000000,0.000006
1977,0.000000,0.000004
1978,0.000000,0.000003
1979,0.000000,0.000003
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000002
1983,0.000000,0.000004
1984,0.000000,0.000003
1985,0.000000,0.000003
1986,0.000000,0.000000
1987,0.000000,0.000002
1988,0.000000,0.000003
1989,0.000000,0.000000
1990,0.000000,0.000002
1991,0.000000,0.000000
1992,0.000000,0.000001
1993,0.000000,0.000000
1994,0.000000,0.000001
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000001
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
