year,Gaye
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,6
1911,5
1912,0
1913,5
1914,8
1915,7
1916,10
1917,9
1918,9
1919,10
1920,9
1921,6
1922,6
1923,13
1924,11
1925,9
1926,6
1927,12
1928,21
1929,13
1930,18
1931,27
1932,40
1933,38
1934,46
1935,82
1936,96
1937,80
1938,80
1939,92
1940,89
1941,75
1942,98
1943,132
1944,131
1945,128
1946,130
1947,210
1948,178
1949,162
1950,156
1951,176
1952,219
1953,222
1954,207
1955,196
1956,223
1957,192
1958,194
1959,259
1960,268
1961,229
1962,203
1963,159
1964,154
1965,129
1966,93
1967,84
1968,63
1969,67
1970,47
1971,32
1972,17
1973,12
1974,18
1975,8
1976,8
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
