year,Guss
1880,9
1881,10
1882,18
1883,22
1884,13
1885,18
1886,9
1887,8
1888,10
1889,11
1890,7
1891,12
1892,12
1893,11
1894,15
1895,15
1896,11
1897,8
1898,8
1899,14
1900,18
1901,10
1902,10
1903,13
1904,13
1905,14
1906,9
1907,5
1908,13
1909,13
1910,12
1911,5
1912,25
1913,24
1914,24
1915,37
1916,24
1917,27
1918,25
1919,31
1920,39
1921,19
1922,35
1923,38
1924,27
1925,28
1926,26
1927,21
1928,21
1929,21
1930,14
1931,23
1932,12
1933,15
1934,17
1935,8
1936,12
1937,9
1938,0
1939,0
1940,5
1941,8
1942,7
1943,7
1944,11
1945,8
1946,8
1947,7
1948,11
1949,9
1950,8
1951,5
1952,8
1953,8
1954,5
1955,5
1956,0
1957,0
1958,7
1959,6
1960,6
1961,0
1962,0
1963,0
1964,0
1965,0
1966,7
1967,5
1968,0
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
