year,Guilford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,8
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,8
1912,10
1913,18
1914,16
1915,17
1916,10
1917,18
1918,17
1919,16
1920,14
1921,16
1922,16
1923,22
1924,20
1925,21
1926,17
1927,14
1928,14
1929,11
1930,14
1931,11
1932,16
1933,5
1934,0
1935,11
1936,9
1937,12
1938,10
1939,12
1940,8
1941,11
1942,11
1943,7
1944,8
1945,7
1946,6
1947,9
1948,10
1949,11
1950,14
1951,7
1952,9
1953,8
1954,9
1955,7
1956,7
1957,6
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,0
1965,5
1966,0
1967,6
1968,0
1969,0
1970,0
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
