year,Geraldean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,11
1916,8
1917,0
1918,9
1919,11
1920,18
1921,22
1922,27
1923,18
1924,26
1925,19
1926,32
1927,30
1928,24
1929,28
1930,29
1931,27
1932,22
1933,38
1934,41
1935,32
1936,30
1937,21
1938,28
1939,19
1940,26
1941,32
1942,28
1943,29
1944,27
1945,20
1946,18
1947,15
1948,24
1949,12
1950,13
1951,14
1952,14
1953,14
1954,12
1955,13
1956,8
1957,8
1958,8
1959,6
1960,0
1961,0
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
