year,Geoffrey (F),Geoffrey (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000016
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000008
1912,0.000000,0.000007
1913,0.000000,0.000015
1914,0.000000,0.000008
1915,0.000000,0.000010
1916,0.000000,0.000005
1917,0.000000,0.000009
1918,0.000000,0.000011
1919,0.000000,0.000011
1920,0.000000,0.000009
1921,0.000000,0.000010
1922,0.000000,0.000005
1923,0.000000,0.000010
1924,0.000000,0.000008
1925,0.000000,0.000009
1926,0.000000,0.000007
1927,0.000000,0.000011
1928,0.000000,0.000008
1929,0.000000,0.000009
1930,0.000000,0.000013
1931,0.000000,0.000015
1932,0.000000,0.000012
1933,0.000000,0.000020
1934,0.000000,0.000015
1935,0.000000,0.000012
1936,0.000000,0.000021
1937,0.000000,0.000024
1938,0.000000,0.000031
1939,0.000000,0.000040
1940,0.000000,0.000064
1941,0.000000,0.000092
1942,0.000000,0.000086
1943,0.000000,0.000106
1944,0.000000,0.000104
1945,0.000000,0.000121
1946,0.000000,0.000143
1947,0.000000,0.000160
1948,0.000000,0.000170
1949,0.000000,0.000168
1950,0.000000,0.000176
1951,0.000000,0.000153
1952,0.000000,0.000164
1953,0.000000,0.000174
1954,0.000000,0.000167
1955,0.000000,0.000178
1956,0.000000,0.000192
1957,0.000000,0.000178
1958,0.000000,0.000186
1959,0.000000,0.000177
1960,0.000000,0.000193
1961,0.000000,0.000199
1962,0.000000,0.000197
1963,0.000001,0.000208
1964,0.000001,0.000218
1965,0.000000,0.000239
1966,0.000000,0.000241
1967,0.000000,0.000261
1968,0.000002,0.000281
1969,0.000002,0.000327
1970,0.000002,0.000357
1971,0.000002,0.000349
1972,0.000003,0.000336
1973,0.000000,0.000323
1974,0.000000,0.000387
1975,0.000000,0.000462
1976,0.000003,0.000427
1977,0.000000,0.000398
1978,0.000002,0.000401
1979,0.000002,0.000380
1980,0.000002,0.000356
1981,0.000002,0.000359
1982,0.000003,0.000368
1983,0.000003,0.000381
1984,0.000000,0.000380
1985,0.000002,0.000370
1986,0.000002,0.000355
1987,0.000003,0.000361
1988,0.000002,0.000333
1989,0.000000,0.000314
1990,0.000000,0.000278
1991,0.000000,0.000250
1992,0.000000,0.000220
1993,0.000001,0.000178
1994,0.000000,0.000164
1995,0.000000,0.000146
1996,0.000000,0.000114
1997,0.000000,0.000103
1998,0.000000,0.000100
1999,0.000000,0.000076
2000,0.000000,0.000074
2001,0.000000,0.000072
2002,0.000000,0.000064
2003,0.000000,0.000062
2004,0.000000,0.000055
2005,0.000000,0.000045
2006,0.000000,0.000043
2007,0.000000,0.000038
2008,0.000000,0.000030
2009,0.000000,0.000039
2010,0.000000,0.000028
2011,0.000000,0.000031
2012,0.000000,0.000033
