year,Gustav (F),Gustav (M)
1880,0.000000,0.000164
1881,0.000000,0.000093
1882,0.000000,0.000194
1883,0.000000,0.000203
1884,0.000000,0.000148
1885,0.000000,0.000116
1886,0.000000,0.000125
1887,0.000000,0.000137
1888,0.000000,0.000100
1889,0.000000,0.000093
1890,0.000000,0.000070
1891,0.000000,0.000080
1892,0.000000,0.000075
1893,0.000000,0.000065
1894,0.000000,0.000056
1895,0.000000,0.000054
1896,0.000000,0.000092
1897,0.000000,0.000046
1898,0.000000,0.000060
1899,0.000000,0.000053
1900,0.000000,0.000042
1901,0.000000,0.000043
1902,0.000000,0.000034
1903,0.000000,0.000039
1904,0.000000,0.000040
1905,0.000000,0.000052
1906,0.000000,0.000033
1907,0.000000,0.000028
1908,0.000000,0.000045
1909,0.000000,0.000033
1910,0.000000,0.000037
1911,0.000000,0.000043
1912,0.000000,0.000069
1913,0.000000,0.000062
1914,0.000000,0.000052
1915,0.000000,0.000050
1916,0.000000,0.000050
1917,0.000000,0.000049
1918,0.000000,0.000041
1919,0.000000,0.000039
1920,0.000000,0.000027
1921,0.000000,0.000031
1922,0.000000,0.000028
1923,0.000000,0.000026
1924,0.000000,0.000026
1925,0.000000,0.000021
1926,0.000000,0.000034
1927,0.000000,0.000023
1928,0.000000,0.000025
1929,0.000000,0.000025
1930,0.000000,0.000023
1931,0.000000,0.000020
1932,0.000000,0.000014
1933,0.000000,0.000021
1934,0.000000,0.000024
1935,0.000000,0.000011
1936,0.000000,0.000013
1937,0.000000,0.000013
1938,0.000000,0.000011
1939,0.000000,0.000010
1940,0.000000,0.000013
1941,0.000000,0.000012
1942,0.000000,0.000009
1943,0.000000,0.000008
1944,0.000000,0.000006
1945,0.000000,0.000005
1946,0.000000,0.000010
1947,0.000000,0.000009
1948,0.000000,0.000005
1949,0.000000,0.000007
1950,0.000000,0.000007
1951,0.000000,0.000005
1952,0.000000,0.000006
1953,0.000000,0.000004
1954,0.000000,0.000007
1955,0.000000,0.000002
1956,0.000000,0.000006
1957,0.000000,0.000004
1958,0.000000,0.000004
1959,0.000000,0.000004
1960,0.000000,0.000004
1961,0.000000,0.000005
1962,0.000000,0.000003
1963,0.000000,0.000005
1964,0.000000,0.000003
1965,0.000000,0.000005
1966,0.000000,0.000005
1967,0.000000,0.000004
1968,0.000000,0.000007
1969,0.000000,0.000004
1970,0.000000,0.000005
1971,0.000000,0.000003
1972,0.000000,0.000005
1973,0.000000,0.000004
1974,0.000000,0.000005
1975,0.000000,0.000005
1976,0.000000,0.000006
1977,0.000000,0.000005
1978,0.000000,0.000006
1979,0.000000,0.000004
1980,0.000000,0.000006
1981,0.000000,0.000005
1982,0.000000,0.000002
1983,0.000000,0.000003
1984,0.000000,0.000003
1985,0.000000,0.000005
1986,0.000000,0.000003
1987,0.000000,0.000004
1988,0.000000,0.000004
1989,0.000000,0.000003
1990,0.000000,0.000004
1991,0.000000,0.000006
1992,0.000000,0.000006
1993,0.000000,0.000004
1994,0.000000,0.000006
1995,0.000000,0.000006
1996,0.000000,0.000008
1997,0.000000,0.000005
1998,0.000000,0.000006
1999,0.000000,0.000005
2000,0.000000,0.000005
2001,0.000000,0.000009
2002,0.000000,0.000008
2003,0.000000,0.000006
2004,0.000000,0.000007
2005,0.000000,0.000007
2006,0.000000,0.000008
2007,0.000000,0.000006
2008,0.000000,0.000010
2009,0.000000,0.000011
2010,0.000000,0.000007
2011,0.000000,0.000008
2012,0.000000,0.000007
2013,0.000000,0.000006
2014,0.000000,0.000005
2015,0.000000,0.000006
2016,0.000000,0.000008
2017,0.000000,0.000009
2018,0.000000,0.000009
2019,0.000000,0.000013
2020,0.000000,0.000011
