year,Grover (F),Grover (M)
1880,0.000000,0.000089
1881,0.000000,0.000166
1882,0.000000,0.000253
1883,0.000000,0.000585
1884,0.000029,0.003294
1885,0.000025,0.003189
1886,0.000000,0.001594
1887,0.000000,0.001172
1888,0.000000,0.001583
1889,0.000000,0.000727
1890,0.000000,0.000587
1891,0.000000,0.000569
1892,0.000015,0.001358
1893,0.000000,0.000889
1894,0.000000,0.000348
1895,0.000000,0.000265
1896,0.000000,0.000207
1897,0.000000,0.000161
1898,0.000000,0.000107
1899,0.000000,0.000097
1900,0.000000,0.000115
1901,0.000000,0.000142
1902,0.000000,0.000116
1903,0.000000,0.000144
1904,0.000000,0.000144
1905,0.000000,0.000116
1906,0.000000,0.000152
1907,0.000000,0.000153
1908,0.000000,0.000174
1909,0.000000,0.000190
1910,0.000000,0.000191
1911,0.000000,0.000177
1912,0.000000,0.000222
1913,0.000000,0.000253
1914,0.000000,0.000294
1915,0.000000,0.000261
1916,0.000000,0.000305
1917,0.000000,0.000270
1918,0.000002,0.000310
1919,0.000003,0.000322
1920,0.000004,0.000302
1921,0.000000,0.000296
1922,0.000003,0.000277
1923,0.000000,0.000249
1924,0.000004,0.000238
1925,0.000003,0.000222
1926,0.000003,0.000230
1927,0.000000,0.000212
1928,0.000000,0.000209
1929,0.000002,0.000198
1930,0.000000,0.000180
1931,0.000002,0.000195
1932,0.000000,0.000180
1933,0.000000,0.000167
1934,0.000000,0.000151
1935,0.000000,0.000157
1936,0.000000,0.000136
1937,0.000000,0.000138
1938,0.000000,0.000152
1939,0.000003,0.000143
1940,0.000000,0.000133
1941,0.000000,0.000122
1942,0.000000,0.000122
1943,0.000000,0.000128
1944,0.000000,0.000128
1945,0.000000,0.000099
1946,0.000002,0.000098
1947,0.000000,0.000090
1948,0.000000,0.000096
1949,0.000000,0.000077
1950,0.000000,0.000095
1951,0.000000,0.000081
1952,0.000000,0.000072
1953,0.000000,0.000069
1954,0.000000,0.000055
1955,0.000000,0.000067
1956,0.000000,0.000057
1957,0.000000,0.000052
1958,0.000000,0.000048
1959,0.000000,0.000040
1960,0.000000,0.000041
1961,0.000000,0.000042
1962,0.000000,0.000039
1963,0.000000,0.000034
1964,0.000000,0.000040
1965,0.000000,0.000036
1966,0.000000,0.000032
1967,0.000000,0.000032
1968,0.000000,0.000030
1969,0.000000,0.000030
1970,0.000000,0.000027
1971,0.000000,0.000029
1972,0.000000,0.000026
1973,0.000000,0.000028
1974,0.000000,0.000024
1975,0.000000,0.000019
1976,0.000000,0.000022
1977,0.000000,0.000018
1978,0.000000,0.000015
1979,0.000000,0.000017
1980,0.000000,0.000013
1981,0.000000,0.000016
1982,0.000000,0.000012
1983,0.000000,0.000010
1984,0.000000,0.000011
1985,0.000000,0.000009
1986,0.000000,0.000010
1987,0.000000,0.000009
1988,0.000000,0.000009
1989,0.000000,0.000008
1990,0.000000,0.000007
1991,0.000000,0.000005
1992,0.000000,0.000005
1993,0.000000,0.000005
1994,0.000000,0.000002
1995,0.000000,0.000003
1996,0.000000,0.000005
1997,0.000000,0.000004
1998,0.000000,0.000003
1999,0.000000,0.000004
2000,0.000000,0.000005
2001,0.000000,0.000003
2002,0.000000,0.000004
2003,0.000000,0.000003
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000004
2007,0.000000,0.000003
2008,0.000000,0.000004
2009,0.000000,0.000003
2010,0.000000,0.000005
2011,0.000000,0.000002
2012,0.000000,0.000002
