year,Gypsy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,5
1906,5
1907,0
1908,0
1909,0
1910,6
1911,6
1912,0
1913,0
1914,0
1915,7
1916,12
1917,9
1918,9
1919,7
1920,5
1921,11
1922,9
1923,6
1924,0
1925,0
1926,0
1927,5
1928,9
1929,9
1930,11
1931,17
1932,17
1933,10
1934,19
1935,17
1936,15
1937,15
1938,10
1939,15
1940,14
1941,10
1942,14
1943,10
1944,13
1945,15
1946,7
1947,16
1948,9
1949,9
1950,10
1951,5
1952,12
1953,5
1954,8
1955,7
1956,9
1957,0
1958,6
1959,0
1960,0
1961,12
1962,0
1963,0
1964,7
1965,0
1966,7
1967,0
1968,5
1969,7
1970,13
1971,24
1972,17
1973,27
1974,29
1975,25
1976,28
1977,15
1978,15
1979,21
1980,26
1981,21
1982,21
1983,15
1984,11
1985,19
1986,12
1987,9
1988,14
1989,10
1990,10
1991,17
1992,13
1993,9
1994,12
1995,15
1996,14
1997,14
1998,8
1999,14
2000,14
2001,20
2002,17
2003,18
2004,11
2005,16
2006,14
2007,18
2008,19
2009,17
2010,21
2011,13
2012,14
