year,Geoffry
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,7
1949,23
1950,19
1951,12
1952,13
1953,13
1954,15
1955,9
1956,8
1957,7
1958,6
1959,7
1960,13
1961,11
1962,11
1963,15
1964,12
1965,5
1966,10
1967,10
1968,9
1969,14
1970,21
1971,14
1972,7
1973,15
1974,14
1975,22
1976,22
1977,16
1978,20
1979,15
1980,14
1981,14
1982,11
1983,10
1984,14
1985,16
1986,13
1987,13
1988,19
1989,17
1990,19
1991,12
1992,13
1993,17
1994,9
1995,7
1996,11
1997,11
1998,7
1999,5
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
