year,Gian
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,0
1957,5
1958,0
1959,6
1960,8
1961,0
1962,9
1963,9
1964,7
1965,15
1966,13
1967,15
1968,11
1969,11
1970,12
1971,14
1972,15
1973,13
1974,11
1975,15
1976,20
1977,16
1978,20
1979,21
1980,26
1981,25
1982,26
1983,14
1984,23
1985,18
1986,33
1987,37
1988,38
1989,41
1990,42
1991,52
1992,35
1993,54
1994,57
1995,49
1996,47
1997,52
1998,53
1999,52
2000,75
2001,77
2002,126
2003,120
2004,142
2005,123
2006,145
2007,132
2008,151
2009,133
2010,121
2011,121
2012,114
