year,Georgene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,0
1911,8
1912,6
1913,13
1914,21
1915,25
1916,26
1917,59
1918,38
1919,41
1920,41
1921,57
1922,60
1923,62
1924,64
1925,56
1926,92
1927,71
1928,79
1929,59
1930,72
1931,79
1932,86
1933,108
1934,85
1935,82
1936,104
1937,98
1938,73
1939,83
1940,97
1941,135
1942,131
1943,131
1944,125
1945,103
1946,145
1947,167
1948,127
1949,129
1950,119
1951,109
1952,117
1953,111
1954,88
1955,79
1956,70
1957,70
1958,74
1959,53
1960,49
1961,40
1962,40
1963,36
1964,32
1965,26
1966,13
1967,27
1968,20
1969,21
1970,17
1971,16
1972,10
1973,12
1974,12
1975,8
1976,6
1977,10
1978,0
1979,0
1980,6
1981,0
1982,8
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
