year,Garrick
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,6
1944,6
1945,11
1946,10
1947,15
1948,17
1949,12
1950,23
1951,14
1952,20
1953,29
1954,35
1955,35
1956,43
1957,25
1958,28
1959,33
1960,18
1961,32
1962,34
1963,37
1964,41
1965,51
1966,47
1967,69
1968,58
1969,71
1970,89
1971,100
1972,201
1973,233
1974,137
1975,112
1976,107
1977,90
1978,94
1979,84
1980,104
1981,103
1982,112
1983,108
1984,85
1985,110
1986,95
1987,82
1988,85
1989,258
1990,251
1991,168
1992,133
1993,122
1994,89
1995,94
1996,72
1997,79
1998,76
1999,84
2000,79
2001,70
2002,72
2003,75
2004,59
2005,49
2006,70
2007,43
2008,53
2009,44
2010,42
2011,42
2012,41
