year,Guadalupe (F),Guadalupe (M)
1880,0.000025,0.000000
1881,0.000031,0.000042
1882,0.000032,0.000000
1883,0.000023,0.000000
1884,0.000053,0.000029
1885,0.000046,0.000033
1886,0.000031,0.000027
1887,0.000000,0.000000
1888,0.000060,0.000000
1889,0.000048,0.000000
1890,0.000056,0.000017
1891,0.000080,0.000000
1892,0.000045,0.000018
1893,0.000055,0.000028
1894,0.000065,0.000024
1895,0.000057,0.000000
1896,0.000070,0.000014
1897,0.000075,0.000020
1898,0.000076,0.000021
1899,0.000080,0.000029
1900,0.000087,0.000024
1901,0.000110,0.000055
1902,0.000091,0.000018
1903,0.000081,0.000045
1904,0.000114,0.000040
1905,0.000127,0.000047
1906,0.000126,0.000035
1907,0.000107,0.000030
1908,0.000115,0.000020
1909,0.000131,0.000039
1910,0.000117,0.000064
1911,0.000106,0.000045
1912,0.000093,0.000054
1913,0.000101,0.000062
1914,0.000110,0.000064
1915,0.000085,0.000050
1916,0.000078,0.000051
1917,0.000096,0.000043
1918,0.000110,0.000051
1919,0.000131,0.000076
1920,0.000143,0.000078
1921,0.000156,0.000075
1922,0.000154,0.000097
1923,0.000156,0.000086
1924,0.000163,0.000085
1925,0.000165,0.000090
1926,0.000166,0.000095
1927,0.000180,0.000098
1928,0.000192,0.000103
1929,0.000180,0.000111
1930,0.000192,0.000111
1931,0.000165,0.000150
1932,0.000150,0.000113
1933,0.000156,0.000080
1934,0.000137,0.000095
1935,0.000122,0.000098
1936,0.000125,0.000079
1937,0.000128,0.000087
1938,0.000123,0.000096
1939,0.000110,0.000083
1940,0.000126,0.000085
1941,0.000123,0.000077
1942,0.000107,0.000070
1943,0.000156,0.000097
1944,0.000186,0.000123
1945,0.000202,0.000122
1946,0.000176,0.000119
1947,0.000161,0.000100
1948,0.000193,0.000115
1949,0.000181,0.000107
1950,0.000188,0.000103
1951,0.000173,0.000091
1952,0.000166,0.000090
1953,0.000172,0.000100
1954,0.000156,0.000085
1955,0.000144,0.000078
1956,0.000132,0.000072
1957,0.000126,0.000063
1958,0.000115,0.000070
1959,0.000106,0.000060
1960,0.000106,0.000058
1961,0.000098,0.000062
1962,0.000105,0.000059
1963,0.000109,0.000056
1964,0.000102,0.000064
1965,0.000114,0.000069
1966,0.000122,0.000065
1967,0.000118,0.000071
1968,0.000116,0.000072
1969,0.000139,0.000078
1970,0.000134,0.000069
1971,0.000140,0.000079
1972,0.000147,0.000080
1973,0.000170,0.000081
1974,0.000161,0.000102
1975,0.000187,0.000110
1976,0.000185,0.000100
1977,0.000173,0.000093
1978,0.000169,0.000093
1979,0.000167,0.000093
1980,0.000171,0.000089
1981,0.000180,0.000088
1982,0.000165,0.000079
1983,0.000156,0.000075
1984,0.000151,0.000073
1985,0.000170,0.000070
1986,0.000171,0.000078
1987,0.000175,0.000066
1988,0.000170,0.000062
1989,0.000192,0.000067
1990,0.000212,0.000069
1991,0.000219,0.000069
1992,0.000246,0.000065
1993,0.000334,0.000085
1994,0.000358,0.000076
1995,0.000335,0.000067
1996,0.000364,0.000074
1997,0.000388,0.000069
1998,0.000376,0.000064
1999,0.000352,0.000062
2000,0.000347,0.000066
2001,0.000359,0.000063
2002,0.000347,0.000060
2003,0.000350,0.000059
2004,0.000318,0.000051
2005,0.000331,0.000048
2006,0.000330,0.000052
2007,0.000306,0.000045
2008,0.000287,0.000049
2009,0.000291,0.000041
2010,0.000265,0.000037
2011,0.000249,0.000027
2012,0.000216,0.000032
