year,Grayce
1880,7
1881,10
1882,5
1883,10
1884,8
1885,8
1886,5
1887,13
1888,10
1889,21
1890,25
1891,17
1892,28
1893,21
1894,23
1895,15
1896,18
1897,10
1898,34
1899,24
1900,30
1901,18
1902,29
1903,25
1904,33
1905,28
1906,25
1907,41
1908,40
1909,42
1910,40
1911,38
1912,63
1913,66
1914,70
1915,95
1916,98
1917,134
1918,106
1919,114
1920,86
1921,122
1922,106
1923,97
1924,98
1925,68
1926,56
1927,42
1928,24
1929,46
1930,48
1931,26
1932,28
1933,24
1934,29
1935,25
1936,23
1937,36
1938,24
1939,17
1940,12
1941,20
1942,22
1943,23
1944,22
1945,10
1946,18
1947,27
1948,17
1949,10
1950,14
1951,6
1952,14
1953,7
1954,5
1955,12
1956,12
1957,15
1958,12
1959,13
1960,8
1961,14
1962,11
1963,8
1964,0
1965,9
1966,0
1967,0
1968,6
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,6
1984,5
1985,6
1986,8
1987,6
1988,9
1989,9
1990,7
1991,0
1992,16
1993,7
1994,16
1995,20
1996,19
1997,13
1998,18
1999,46
2000,56
2001,69
2002,56
2003,114
2004,99
2005,87
2006,91
2007,77
2008,79
2009,61
2010,76
2011,59
2012,45
