year,Gustavo (F),Gustavo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000012
1912,0.000000,0.000000
1913,0.000000,0.000011
1914,0.000000,0.000008
1915,0.000000,0.000008
1916,0.000000,0.000008
1917,0.000000,0.000010
1918,0.000000,0.000010
1919,0.000000,0.000012
1920,0.000000,0.000011
1921,0.000000,0.000012
1922,0.000000,0.000010
1923,0.000000,0.000013
1924,0.000000,0.000016
1925,0.000000,0.000013
1926,0.000000,0.000014
1927,0.000000,0.000015
1928,0.000000,0.000018
1929,0.000000,0.000014
1930,0.000000,0.000018
1931,0.000000,0.000018
1932,0.000000,0.000018
1933,0.000000,0.000019
1934,0.000000,0.000019
1935,0.000000,0.000021
1936,0.000000,0.000013
1937,0.000000,0.000016
1938,0.000000,0.000014
1939,0.000000,0.000017
1940,0.000000,0.000017
1941,0.000000,0.000016
1942,0.000000,0.000013
1943,0.000000,0.000012
1944,0.000000,0.000014
1945,0.000000,0.000014
1946,0.000000,0.000015
1947,0.000000,0.000016
1948,0.000000,0.000017
1949,0.000000,0.000016
1950,0.000000,0.000020
1951,0.000000,0.000023
1952,0.000000,0.000021
1953,0.000000,0.000029
1954,0.000000,0.000028
1955,0.000000,0.000028
1956,0.000000,0.000027
1957,0.000000,0.000025
1958,0.000000,0.000034
1959,0.000000,0.000036
1960,0.000000,0.000034
1961,0.000000,0.000045
1962,0.000000,0.000043
1963,0.000000,0.000054
1964,0.000000,0.000046
1965,0.000000,0.000050
1966,0.000000,0.000051
1967,0.000000,0.000057
1968,0.000000,0.000062
1969,0.000000,0.000069
1970,0.000000,0.000075
1971,0.000000,0.000082
1972,0.000000,0.000083
1973,0.000000,0.000096
1974,0.000000,0.000101
1975,0.000002,0.000102
1976,0.000002,0.000105
1977,0.000002,0.000104
1978,0.000002,0.000095
1979,0.000000,0.000101
1980,0.000001,0.000113
1981,0.000000,0.000147
1982,0.000000,0.000129
1983,0.000002,0.000109
1984,0.000000,0.000106
1985,0.000002,0.000127
1986,0.000000,0.000126
1987,0.000002,0.000174
1988,0.000000,0.000142
1989,0.000002,0.000182
1990,0.000001,0.000183
1991,0.000002,0.000218
1992,0.000002,0.000227
1993,0.000001,0.000268
1994,0.000001,0.000260
1995,0.000001,0.000249
1996,0.000001,0.000246
1997,0.000000,0.000253
1998,0.000001,0.000244
1999,0.000000,0.000253
2000,0.000001,0.000341
2001,0.000000,0.000305
2002,0.000000,0.000315
2003,0.000000,0.000308
2004,0.000000,0.000288
2005,0.000000,0.000290
2006,0.000000,0.000273
2007,0.000000,0.000285
2008,0.000000,0.000247
2009,0.000000,0.000220
2010,0.000000,0.000185
2011,0.000000,0.000171
2012,0.000000,0.000193
2013,0.000000,0.000167
2014,0.000000,0.000158
2015,0.000000,0.000147
2016,0.000000,0.000141
2017,0.000000,0.000136
2018,0.000000,0.000126
2019,0.000000,0.000132
2020,0.000000,0.000129
