year,Georgette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,5
1892,0
1893,6
1894,0
1895,6
1896,11
1897,6
1898,6
1899,6
1900,11
1901,8
1902,6
1903,6
1904,10
1905,6
1906,6
1907,10
1908,7
1909,7
1910,16
1911,20
1912,21
1913,29
1914,37
1915,48
1916,82
1917,103
1918,88
1919,102
1920,115
1921,143
1922,152
1923,223
1924,231
1925,201
1926,198
1927,183
1928,183
1929,139
1930,132
1931,126
1932,93
1933,84
1934,103
1935,116
1936,94
1937,93
1938,85
1939,84
1940,125
1941,93
1942,164
1943,189
1944,170
1945,163
1946,250
1947,275
1948,307
1949,274
1950,257
1951,265
1952,219
1953,260
1954,283
1955,251
1956,251
1957,266
1958,240
1959,275
1960,251
1961,243
1962,230
1963,204
1964,209
1965,175
1966,163
1967,181
1968,169
1969,177
1970,175
1971,152
1972,144
1973,167
1974,141
1975,159
1976,132
1977,141
1978,119
1979,119
1980,127
1981,113
1982,87
1983,102
1984,71
1985,71
1986,73
1987,67
1988,62
1989,69
1990,66
1991,43
1992,43
1993,53
1994,51
1995,36
1996,38
1997,28
1998,31
1999,32
2000,22
2001,28
2002,43
2003,28
2004,23
2005,13
2006,22
2007,23
2008,25
2009,14
2010,25
2011,24
2012,24
