year,Garnette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,7
1891,0
1892,0
1893,0
1894,6
1895,8
1896,6
1897,7
1898,0
1899,0
1900,9
1901,0
1902,6
1903,0
1904,6
1905,7
1906,0
1907,5
1908,13
1909,11
1910,0
1911,13
1912,23
1913,22
1914,24
1915,30
1916,23
1917,28
1918,23
1919,28
1920,40
1921,34
1922,38
1923,23
1924,20
1925,15
1926,9
1927,12
1928,21
1929,23
1930,10
1931,12
1932,11
1933,14
1934,13
1935,13
1936,11
1937,18
1938,13
1939,13
1940,7
1941,21
1942,9
1943,12
1944,7
1945,0
1946,15
1947,13
1948,16
1949,10
1950,17
1951,14
1952,12
1953,8
1954,15
1955,9
1956,7
1957,8
1958,7
1959,11
1960,12
1961,7
1962,5
1963,5
1964,6
1965,0
1966,5
1967,0
1968,0
1969,6
1970,8
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
